stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,3.15,0,0,31.47,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,5,94,10,0,26,0,1,0,5,4,1,2,0,0,0,0,0,0,61,0,0,53,334,20,0,9,4,0,2,6,5,14,40,81,0,0,5,0,0
 24-34,0,0,7.39,36.12,3.28,0,59.92,0,0.82,2.46,18.06,2.46,0,4.93,0.82,0,0.82,0.82,3.28,0,193.72,0,0,94.4,734.67,12.31,1.64,18.06,0,0,15.6,0,2.46,4.93,9.03,169.92,0,0,10.67,0,1.64
 36-46,0,0,0,17.72,1.61,0,55.59,2.42,1.61,6.45,28.2,2.42,0,0.81,0,0,0,1.61,0,0,148.24,0,4.03,50.76,590.56,8.06,1.61,5.64,0,0,7.25,0,2.42,2.42,0,150.66,0,0,3.22,0,0.81
 48-58,0,0,0,4.59,0,0,58.53,0.57,1.72,5.74,43.04,0,0,1.15,0,0,0.57,1.15,0,0,94.1,0.57,2.3,25.82,362.07,3.44,0.57,2.3,0,0,4.02,0,0,1.72,0,81.48,0,0,8.61,0,1.72
 60-70,0,0,0,5.89,0.98,0,79.5,0,2.94,8.83,47.11,0,0,0.98,0,0,0,0,0.98,0,97.17,0,1.96,8.83,431.87,4.91,1.96,2.94,0,1.96,2.94,0,0,0,0,84.41,0,0,2.94,0.98,0
 72-82,0,0,0,9.82,8.83,0,76.57,2.94,2.94,7.85,70.68,1.96,0,0,0,0,1.96,3.93,0,0,107.98,0,3.93,16.69,301.37,4.91,0.98,5.89,0,1.96,13.74,0,0,1.96,0,43.19,0,0,12.76,3.93,1.96
 84-94,0,0,0,24.43,11.68,1.06,74.34,3.19,3.19,9.56,47.79,6.37,0,1.06,0,1.06,0,0,0,0,63.72,0,1.06,8.5,196.48,1.06,2.12,5.31,0,2.12,18.05,0,1.06,3.19,0,26.55,0,2.12,5.31,0,2.12
 96-106,0,0,0,16.39,14.21,0,49.18,3.28,2.19,9.84,42.62,1.09,0,2.19,1.09,1.09,1.09,2.19,0,0,83.06,0,2.19,8.74,142.07,6.56,5.46,7.65,1.09,2.19,19.67,0,0,0,0,4.37,3.28,2.19,13.11,2.19,1.09
108-118,0,0.77,0,16.09,11.49,3.06,40.6,0.77,3.06,5.36,45.19,3.83,0,2.3,2.3,0.77,1.53,0,3.06,1.53,85.02,2.3,2.3,11.49,184.6,5.36,3.83,1.53,0,1.53,13.79,0,2.3,0.77,0,7.66,0,0.77,7.66,0.77,2.3
120,0,0,0,23.52,9.8,1.96,60.75,1.96,1.96,3.92,56.83,1.96,0,0,5.88,0,0,0,1.96,0,70.55,1.96,3.92,13.72,137.18,3.92,0,7.84,0,1.96,7.84,0,1.96,0,0,5.88,0,0,3.92,0,0
