stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,1,0,2,0,0,0,0,0,25,1,0,1,0,0,0,0,3,0,0,0,26,0,0,1,0,0,2,0,0,1,5,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,20.52,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,31.42,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,0,15.31,0,0,0,0,0,0.81,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,153.21,0,0,0,1.72,0,0,0,0,0,0,0,0,0.57,2.3,0,0,2.3,12.05,0.57,0.57,0.57,0,0,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,0,661.55,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,4.91,0,0.98,0,20.61,0,0,0.98,0,0,0.98,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0.98,0,7.85,4.91,0,1015.04,0,0.98,0,6.87,0,0,0,3.93,0,0,0,0,0.98,13.74,0,0,2.94,58.9,0,1.96,0.98,0,0,2.94,0.98,0,0,4.91,0,0,4.91,0.98,2.94
 84-94,0,1.06,1.06,9.56,0,0,1074.78,0,0,0,5.31,0,0,0,3.19,0,1.06,1.06,0,0,9.56,1.06,0,1.06,23.36,1.06,1.06,0,0,1.06,2.12,0,0,0,2.12,2.12,1.06,2.12,0,0
 96-106,0,0,0,17.49,3.28,0,927.83,3.28,2.19,1.09,8.74,0,0,0,2.19,1.09,2.19,0,3.28,0,17.49,1.09,1.09,1.09,43.71,0,1.09,2.19,0,1.09,5.46,1.09,1.09,0,0,0,1.09,0,1.09,1.09
108-118,0,0,0,6.13,3.83,1.53,621.2,0.77,0,2.3,5.36,1.53,0,0,2.3,0,0,3.06,0.77,0,15.32,0,0.77,3.06,55.15,0,0.77,1.53,0,0,5.36,0,0,0,0.77,0.77,0.77,2.3,0,3.06
120,0,0,0,5.88,1.96,0,691.8,1.96,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,15.68,0,0,0,33.32,1.96,0,3.92,0,0,5.88,0,0,0,0,0,0,1.96,0,1.96
