stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,7,11,3,1,0,0,0,1,1,1,0,3,5,0,0,1,0,0
 24-34,0,0,0.82,0,0,2.46,0.82,1.64,0,0,0,0,1.64,0,0,0,0,30.37,0,0,22.16,34.48,0,1.64,1.64,0,0,8.21,0,0,0,0.82,9.03,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,4.83,1.61,0,2.42,0,0,0,0,0.81,0.81,0,0,29.81,0,1.61,22.56,51.56,0,0.81,0,0,0,4.03,0,0,0,0,12.09,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,24.1,0.57,2.87,5.74,0,0,0.57,0,6.89,0,0,1.15,47.63,0.57,2.3,18.36,86.64,0,0,0.57,0,0,1.15,0,0,0,0,18.36,0,1.15,1.72,0,0
 60-70,0,0,0.98,0.98,0,99.13,0,0,13.74,0,0.98,0,0,21.59,0.98,0,0,40.24,0,5.89,3.93,142.32,0.98,0,1.96,0,0.98,0.98,0,0,0,0,17.67,0,5.89,3.93,0,0
 72-82,0.98,0,1.96,0.98,0,115.84,1.96,0,10.8,0.98,1.96,0,0,18.65,0,0,0,37.3,0,8.83,5.89,168.85,0.98,1.96,5.89,0,0.98,4.91,0,0,0,0,9.82,0,7.85,26.5,1.96,0
 84-94,0,0,3.19,3.19,0,83.9,0,0,7.43,3.19,0,3.19,0,28.68,0,0,0,28.68,0,5.31,5.31,98.77,0,1.06,11.68,0,0,13.81,0,1.06,0,0,4.25,1.06,5.31,15.93,3.19,0
 96-106,1.09,0,3.28,3.28,0,72.13,0,1.09,6.56,3.28,0,5.46,0,42.62,2.19,0,0,30.6,0,17.49,2.19,109.28,1.09,2.19,9.84,0,5.46,18.58,0,0,0,0,1.09,1.09,5.46,27.32,2.19,1.09
108-118,0,0,6.13,1.53,0.77,63.57,2.3,0,8.43,1.53,0,1.53,0,38.3,0.77,0.77,0,16.85,0.77,6.89,5.36,76.6,0.77,0,6.89,0,4.6,5.36,0,0,1.53,0,0.77,0.77,3.06,21.45,4.6,0.77
120,0,0,5.88,0,1.96,47.03,1.96,0,3.92,1.96,0,3.92,0,19.6,0,0,1.96,21.56,0,13.72,7.84,117.59,0,1.96,7.84,0,9.8,5.88,0,1.96,0,0,3.92,1.96,1.96,25.48,5.88,0
