stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.32,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,12.59,0,0,6.29,0,18.88,0,0,31.47,0,0,0,0,0,0,0,0
 14-21,0,1,7,4,6,0,3,0,1,0,1,16,0,1,0,8,0,0,0,0,9,3,0,5,24,8,0,0,1,0,532,0,1,22,1,6,60,0,0,1,0,0
 24-34,0,0.82,1.64,1.64,0,0,12.31,0,0,0,0,2.46,0,3.28,0,13.13,0,0.82,0.82,0,37.76,9.85,0.82,25.45,49.25,6.57,0,9.03,0,0,420.28,0,0,10.67,0,0.82,37.76,0,0,8.21,0,0
 36-46,0,0.81,0.81,3.22,0,0,10.47,0,1.61,0,0.81,0.81,0,2.42,0,8.86,0,1.61,0.81,0,69.29,8.06,0,8.86,29.81,3.22,2.42,12.09,0,0,462.45,0,0,3.22,0,0,19.34,0,0,6.45,0,0
 48-58,0,1.72,0,4.59,0.57,0,11.48,0,2.87,0,3.44,2.87,0,2.87,0.57,5.74,0,2.87,1.15,0,63.69,6.31,1.15,3.44,24.1,0.57,0.57,11.48,0,0,298.95,0,0,1.72,0,0,9.75,0,1.15,6.31,0,0.57
 60-70,0,1.96,0,15.7,0,0,28.46,0,2.94,0.98,6.87,4.91,0.98,0.98,0,9.82,1.96,2.94,2.94,0,103.06,10.8,0.98,3.93,20.61,4.91,1.96,14.72,0,1.96,310.16,0,0,1.96,0,0,2.94,0,0,2.94,0,0.98
 72-82,0,14.72,0,25.52,0,2.94,29.45,1.96,6.87,0.98,28.47,25.52,0,9.82,1.96,38.28,1.96,12.76,1.96,0.98,135.47,32.39,0.98,7.85,37.3,0.98,0.98,26.5,0,2.94,489.85,0.98,0,5.89,0,0,1.96,0,0.98,8.83,0.98,0
 84-94,0,9.56,0,58.41,0,2.12,15.93,0,23.36,1.06,11.68,35.05,1.06,4.25,2.12,49.92,1.06,13.81,8.5,0,88.15,29.74,3.19,6.37,28.68,5.31,4.25,42.48,0,3.19,1292.5,0,0,7.43,0,0,0,4.25,1.06,7.43,0,1.06
 96-106,0,16.39,0,108.19,0,3.28,27.32,2.19,31.69,2.19,27.32,37.16,0,5.46,2.19,84.15,3.28,32.79,4.37,0,99.45,32.79,1.09,4.37,43.71,4.37,3.28,45.9,0,2.19,1167.16,1.09,0,7.65,1.09,0,2.19,7.65,2.19,10.93,2.19,0
108-118,0,6.89,0.77,104.17,1.53,14.55,22.21,3.06,45.19,0.77,21.45,40.6,0,3.83,0,88.85,3.83,21.45,12.26,0,73.53,36,1.53,6.13,26.04,4.6,4.6,30.64,0,1.53,1417.8,0,0,11.49,0,0,0.77,18.38,1.53,9.19,0.77,0
120,0,3.92,0,80.35,1.96,1.96,11.76,1.96,21.56,0,15.68,43.12,0,1.96,0,33.32,1.96,11.76,3.92,0,39.2,15.68,1.96,1.96,31.36,3.92,1.96,29.4,0,0,623.21,0,0,1.96,0,0,1.96,3.92,0,11.76,0,0
