stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,7.89,0,0,0,34.17,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,215.55,7.89,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,53.5,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,4,46,14,0,65,0,0,0,6,1,1,0,0,0,0,1,1,0,26,0,21,339,5,0,4,3,0,0,1,60,0,1,104,60,0,2,0,0
 24-34,0,0,3.28,11.49,1.64,0,70.59,0,0,0,3.28,0.82,0.82,1.64,0,0.82,0,0.82,0,0.82,34.48,0,7.39,352.15,1.64,0.82,2.46,0,0,4.1,0,0,0,0,22.98,55,0,2.46,0,2.46
 36-46,0,0,0,1.61,0,0,36.26,0,0,0,8.86,0,0,0,0,0,0.81,0,0.81,0,16.11,0.81,8.06,114.41,0.81,0.81,0.81,0,0,3.22,0,0,0,0,0.81,29.81,0,2.42,0,0
 48-58,0,0,0,3.44,0,0,47.63,0.57,0,1.15,17.21,1.15,0,0.57,0,0,0.57,0,0.57,0,25.82,0,8.03,73.45,0,0,1.15,0,0,1.15,0,0,0,0,0,15.49,0,4.02,0,0.57
 60-70,0,0,0,2.94,0,0,51.04,0.98,0,0,11.78,0.98,0,0,0,0.98,0.98,0,0,0,12.76,0,1.96,70.67,0,0,0.98,0,0,0.98,0,0,0,0,0,4.91,0.98,0,0,0
 72-82,0,0,0,5.89,0.98,0,37.3,0.98,0,2.94,17.67,0.98,0,0,2.94,0,0,0,0,0,29.45,0,7.85,77.55,0.98,0.98,0,0.98,0,3.93,0,0,0,0,0,3.93,0.98,3.93,0,1.96
 84-94,0,0,0,10.62,1.06,0,11.68,2.12,0,3.19,15.93,7.43,0,0,4.25,2.12,0,1.06,0,0,11.68,0,16.99,29.74,0,0,0,0,0,10.62,0,0,0,0,0,3.19,0,2.12,1.06,0
 96-106,0,0,0,4.37,2.19,0,15.3,0,1.09,4.37,6.56,0,0,2.19,7.65,1.09,1.09,3.28,1.09,0,21.86,0,17.49,30.6,1.09,0,1.09,0,0,5.46,0,0,0,0,0,2.19,0,4.37,0,0
108-118,0,0,0,12.26,2.3,2.3,24.51,0,0.77,0.77,13.02,2.3,0,0,5.36,0.77,1.53,0,0.77,0,17.62,0,14.55,45.19,0.77,0.77,1.53,0,0,3.06,0,0,0,0,0,0,0,2.3,0.77,0
120,0,0,0,19.6,7.84,0,17.64,1.96,1.96,0,3.92,3.92,0,0,3.92,0,0,0,0,0,17.64,0,9.8,37.24,0,0,0,0,1.96,9.8,0,0,0,0,0,0,0,7.84,0,0
