stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,75.53,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,5,38,0,0,26,1,0,3,3,0,0,0
 24-34,0,0,41.86,0,7.39,0.82,0,0,0,0,0,0,0,0.82,0,4.93,1.64,0,0,0,0,0.82,0,2.46,0,1.64,1.64,0,0,0
 36-46,0,0,38.67,0.81,18.53,1.61,0,0,0.81,0,0,0,2.42,0.81,0,5.64,0,0,0,0,0,0,0,2.42,0,0,3.22,0,0,0
 48-58,0,0,38.44,1.72,30.41,0.57,0,0,0,0,0,0,6.31,0,0,10.33,0,0.57,0,0,0,0,0,0.57,0,0,1.72,0,0,0
 60-70,0,0,34.35,4.91,26.5,0.98,0,0,0,0,0,0.98,14.72,0.98,0,16.69,0,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,35.34,6.87,36.32,0.98,0.98,0,0,0,0,0,47.12,0.98,1.96,25.52,0,4.91,2.94,0,0,0,0,1.96,0,0,3.93,0,0,0
 84-94,0,0,89.21,4.25,60.54,1.06,1.06,0,0,0,0,0,23.36,0,1.06,6.37,1.06,2.12,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,93.98,4.37,66.66,1.09,1.09,1.09,0,0,0,0,32.79,0,3.28,15.3,1.09,1.09,0,0,0,3.28,0,2.19,1.09,0,1.09,0,0,0
108-118,0,0,131.75,3.06,88.85,0.77,0.77,0,1.53,0.77,0.77,0,22.98,0.77,1.53,13.02,0,2.3,2.3,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77
120,0,0,162.66,0,72.51,0,1.96,0,0,0,1.96,0,23.52,1.96,3.92,13.72,0,1.96,1.96,0,0,0,0,1.96,0,0,0,1.96,1.96,1.96
