stage,axial,blastomeres,eye,fin.mesenchyme,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,39.53,448.05,0,0,0,0,0,0,13.18,0
  5-6,12.26,171.63,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,28.92,5.26,2.63,0,0
 10-12,0,0,0,0,0,3.15,3.15,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0.81,0
 60-70,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0
