stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,3,17,0,1,1,0,0,0,0,2,9,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,0,0.82,0,0.82,0,0,0,0.82,81.26,0,0,11.49,0,0.82,0,0,0.82,24.63,0,0.82,0
 36-46,0,0.81,0,0,0,17.72,0,1.61,0,0,0,0,1.61,0.81,0,0,2.42,140.99,0.81,0.81,8.86,0,0,0.81,0,0,29,0,0.81,0
 48-58,0,0,0,1.72,0,35.58,0.57,2.87,0,0,0,0,1.72,3.44,0,0,0.57,152.06,0,1.15,11.48,0,0,0,0.57,0,25.82,0.57,0,0
 60-70,0,0,0,0,0,35.33,0,1.96,0,0,0,0,5.89,5.89,0,0.98,0,205.14,0,0,25.52,0,0,0,0,0,13.74,0,0.98,0
 72-82,0,0,0,0.98,0.98,19.63,1.96,7.85,0,0.98,0,0,15.71,11.78,0,0,1.96,145.29,0,0,53.01,0,0,0,0,0,8.83,0,0,0
 84-94,0,1.06,0,0,1.06,18.05,0,5.31,1.06,0,0,1.06,19.12,4.25,0,1.06,0,79.65,0,0,81.78,1.06,2.12,0,0,0,9.56,0,2.12,0
 96-106,0,0,0,1.09,0,15.3,0,1.09,0,1.09,1.09,0,44.81,6.56,2.19,0,1.09,46.99,1.09,1.09,92.89,0,2.19,0,0,0,1.09,0,0,3.28
108-118,0,0,0,0.77,0.77,8.43,0,1.53,0,1.53,0.77,0,29.87,1.53,0,0,1.53,60.51,0,0.77,70.47,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,13.72,0,1.96,0,3.92,0,0,25.48,0,0,1.96,0,48.99,0,1.96,74.47,0,0,1.96,0,0,0,0,0,0
