stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,19,2,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,11.49,0,0,22.98,0,1.64,0,1.64,0.82,0.82,0,0,4.1,0,0,0.82,0,9.85,3.28,0,6.57,123.13,2.46,0.82,0.82,0,0,340.66,0,1.64,0,0.82,17.24,0,0,4.1,0,0
 36-46,0,0,0,8.86,0.81,0,20.95,0.81,7.25,0,0.81,0,0,0,0,7.25,0,0,0,0,17.72,7.25,0.81,3.22,79.76,2.42,0.81,0,0,0,832.26,0.81,0,0.81,0,10.47,0,0,2.42,0,0
 48-58,0,0,0,13.77,1.72,0,154.93,1.15,21.8,4.59,35.58,1.15,1.15,0.57,0.57,5.16,0,0.57,1.72,1.15,87.79,14.35,1.72,17.79,424.04,0.57,2.3,3.44,0,0,1234.83,0,0.57,0,0,111.32,0,0.57,7.46,0,10.9
 60-70,0,0,0,20.61,1.96,0,159.01,1.96,17.67,1.96,27.48,1.96,0.98,0,2.94,13.74,3.93,0.98,0,0.98,53,11.78,1.96,7.85,296.42,0.98,1.96,0.98,0,0,1142.49,0,0,0,0,48.09,0.98,0.98,4.91,0.98,6.87
 72-82,0,0,0,60.86,4.91,0,41.23,0,17.67,0.98,10.8,0.98,0,0.98,0,18.65,0.98,0,0,0,16.69,12.76,0.98,0,79.51,0.98,1.96,0,0,0,816.74,0,0,0,0,2.94,3.93,0,6.87,0,2.94
 84-94,0,0,1.06,127.44,5.31,0,48.85,1.06,59.47,1.06,10.62,2.12,0,0,2.12,86.03,1.06,0,1.06,2.12,19.12,27.61,0,1.06,73.28,0,1.06,1.06,0,2.12,2735.81,0,2.12,0,0,6.37,2.12,1.06,1.06,1.06,1.06
 96-106,0,0,0,195.62,10.93,0,41.53,1.09,26.23,3.28,20.76,9.84,1.09,1.09,6.56,83.06,1.09,1.09,9.84,0,38.25,32.79,3.28,4.37,84.15,3.28,4.37,3.28,0,2.19,1860.03,0,0,1.09,0,4.37,2.19,1.09,9.84,3.28,4.37
108-118,0,0,0,177.7,2.3,3.06,32.94,1.53,55.15,1.53,6.13,6.89,0,1.53,3.06,125.62,0,1.53,0.77,0,24.51,45.19,1.53,3.83,75.06,0.77,0.77,1.53,0,0.77,1914.14,0,1.53,0,0,0.77,3.06,0.77,5.36,0.77,1.53
120,0,0,0,70.55,1.96,1.96,7.84,0,21.56,0,5.88,3.92,0,0,0,43.12,0,0,1.96,0,15.68,11.76,0,0,43.12,0,0,0,0,0,631.05,0,1.96,0,0,0,0,0,1.96,0,1.96
