stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,58,14,0,58,0,0,0,18,4,1,1,0,2,0,0,0,32,0,0,22,634,11,0,4,13,0,6,1,39,1,34,177,0,0,1,0,2
 24-34,0.82,0,0,0,21.34,4.1,0,167.45,0,0.82,0,27.09,0.82,0,1.64,0,0.82,0,2.46,0.82,80.44,0,0,38.58,1027.71,1.64,0.82,7.39,0,0.82,15.6,0,0,1.64,4.1,227.38,0,0,10.67,0,1.64
 36-46,0,0,0,0,7.25,1.61,0,182.08,0,0.81,1.61,22.56,0.81,0,0.81,0,0,0,0.81,0,67.68,0,1.61,16.11,388.33,3.22,2.42,3.22,0,0,8.06,0,0,1.61,0,88.62,0,0,1.61,0,0
 48-58,0,0,0,0,6.31,0,0,133.12,0,0.57,2.87,29.26,0.57,0,2.3,0,0,0.57,0.57,0,53.36,0,0.57,13.2,157.22,0.57,0.57,2.3,0,0,3.44,0,0,0,0,28.69,0,0,5.16,0,0.57
 60-70,0,0,0,0,4.91,1.96,0,117.78,0,0,2.94,49.08,1.96,0,0,0,0.98,0,0,0,67.73,0.98,2.94,8.83,135.45,1.96,2.94,1.96,0,0.98,0.98,0,0,0.98,0,19.63,0,1.96,0.98,0,0.98
 72-82,0,0,1.96,0,6.87,9.82,0,53.99,0.98,0.98,3.93,61.84,2.94,0,0.98,1.96,0.98,0,0.98,0,75.59,0,0.98,4.91,84.42,0.98,1.96,2.94,0,0,5.89,0,0,0,0,6.87,0,0.98,7.85,0.98,0
 84-94,0,0,0,1.06,8.5,2.12,0,61.6,0,0,2.12,29.74,0,0,0,0,0,1.06,2.12,0,46.73,0,6.37,8.5,67.97,3.19,1.06,2.12,0,0,4.25,0,0,0,0,4.25,4.25,1.06,2.12,0,0
 96-106,0,0,0,0,19.67,14.21,0,38.25,0,2.19,1.09,34.97,3.28,0,0,4.37,2.19,0,2.19,1.09,42.62,1.09,2.19,7.65,66.66,0,0,4.37,0,3.28,7.65,0,0,0,0,2.19,1.09,1.09,9.84,2.19,0
108-118,0,0,0.77,0,9.96,5.36,0.77,28.34,0,2.3,2.3,32.94,5.36,0,0.77,3.83,0.77,0,2.3,0.77,33.7,2.3,0.77,6.89,68.94,0.77,2.3,4.6,0,0.77,6.13,0,0,0,0,3.06,0,0.77,5.36,2.3,0.77
120,0,0,0,0,15.68,7.84,0,31.36,0,0,1.96,43.12,1.96,0,0,0,3.92,1.96,1.96,1.96,27.44,0,3.92,7.84,88.19,1.96,1.96,9.8,0,1.96,9.8,0,0,0,0,5.88,0,0,3.92,1.96,0
