stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,2,86,22,0,19,0,0,0,11,2,0,3,0,0,0,0,3,0,23,0,0,25,216,19,1,3,4,0,2,0,44,5,8,131,133,0,0,7,0,1
 24-34,0,0,3.28,27.91,3.28,0,69.77,0,6.57,2.46,22.98,0,0,6.57,0.82,0.82,0.82,2.46,1.64,4.1,64.85,0.82,0,37.76,725.64,13.13,8.21,6.57,0,0,9.03,0,0.82,5.75,2.46,42.68,191.26,0,0,60.74,0,4.1
 36-46,0,0.81,0.81,13.7,0.81,0,135.35,2.42,2.42,5.64,38.67,0,0,7.25,1.61,0.81,0.81,0.81,0,3.22,99.9,0,1.61,34.64,1001.45,8.06,6.45,0.81,0,0,4.83,0,0,2.42,3.22,0.81,233.64,0,0,34.64,0,2.42
 48-58,0.57,0,0,12.05,0,0,276.57,2.87,0.57,6.31,111.89,0,0.57,5.74,1.15,0,2.3,0,1.15,4.59,131.98,0.57,4.02,29.26,863,5.74,7.46,2.87,0,0.57,2.87,0.57,0,1.72,0.57,0,216.9,0,1.15,36.72,0,6.89
 60-70,0,0.98,0,17.67,0.98,0,539.84,5.89,4.91,6.87,160.97,0.98,0,4.91,4.91,0.98,9.82,0.98,2.94,1.96,173.73,0,7.85,29.45,880.43,5.89,5.89,0.98,0,1.96,9.82,0,0,0,1.96,0,122.69,0,6.87,31.41,2.94,0.98
 72-82,0,2.94,0.98,16.69,0.98,0,408.37,2.94,4.91,8.83,225.78,1.96,0,9.82,3.93,0,9.82,0,0.98,1.96,247.38,0,9.82,31.41,627.28,0.98,0.98,7.85,0,2.94,16.69,0,0,0.98,0.98,0,55.95,0.98,11.78,66.75,8.83,2.94
 84-94,0,2.12,0,32.92,0,0,293.12,5.31,8.5,7.43,129.57,7.43,1.06,4.25,12.74,3.19,13.81,3.19,1.06,11.68,155.06,0,12.74,14.87,305.87,4.25,6.37,7.43,0,3.19,42.48,0,0,2.12,2.12,0,36.11,0,3.19,67.97,7.43,4.25
 96-106,0,1.09,0,32.79,4.37,1.09,279.77,5.46,7.65,3.28,100.54,2.19,0,6.56,13.11,2.19,13.11,1.09,3.28,1.09,136.61,0,7.65,20.76,274.3,0,5.46,5.46,0,7.65,52.46,0,0,1.09,1.09,0,20.76,1.09,6.56,45.9,14.21,5.46
108-118,0,1.53,0,24.51,1.53,3.83,197.62,1.53,8.43,3.06,101.87,3.83,0,4.6,5.36,3.83,26.04,1.53,5.36,4.6,88.85,0,4.6,16.09,255.07,3.06,6.89,6.89,0,3.83,29.87,0,0,0.77,2.3,0,14.55,2.3,6.13,29.87,6.89,6.13
120,0,0,0,33.32,7.84,0,203.82,3.92,11.76,0,113.67,9.8,0,1.96,9.8,1.96,1.96,3.92,0,0,70.55,1.96,5.88,23.52,288.09,3.92,9.8,3.92,0,3.92,29.4,0,0,3.92,0,0,15.68,3.92,7.84,39.2,11.76,7.84
