stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,27,4,0,7,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,2,30,0,0,3,0,0,1,1,1,12,0,0,0
 24-34,0,0,1.64,2.46,0,0,1.64,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,1.64,13.13,0.82,0,0.82,0,9.03,0,0.82,0,4.1,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,0.81,0.81,0.81,0,0,0,9.67,0.81,0,0,0,0.81,0,0.81,0,2.42,0,1.61,0
 48-58,0,0,0,1.72,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0.57,1.72,1.15,0,0,3.44,0,0,0.57,0,2.3,0,0,0,0.57,0,0,0
 60-70,0,0,0,7.85,0,0,1.96,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0,0,3.93,0.98,0,1.96,0,2.94,0,0,0,0.98,0,0,0
 72-82,0,0,0,8.83,0.98,0,1.96,0,0.98,0,5.89,0.98,0,0,0,0,0,1.96,0,6.87,0,0,0,3.93,0,0,2.94,0,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,7.43,2.12,1.06,1.06,0,2.12,0,1.06,0,0,1.06,0,1.06,0,0,0,4.25,0,0,0,4.25,0,0,3.19,0,4.25,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,0,3.28,2.19,0,1.09,0,0,1.09,3.28,0,0,0,1.09,0,0,2.19,1.09,1.09,1.09,0,1.09,3.28,0,0,2.19,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,9.19,0,0.77,1.53,0,2.3,0,3.83,0.77,0,0,0,0.77,0.77,0.77,1.53,5.36,0,0,0.77,8.43,0,0.77,1.53,0,2.3,0,0,0,0,0,0,0.77
120,0,0,0,13.72,0,0,1.96,0,3.92,0,5.88,3.92,0,0,0,0,0,0,0,5.88,0,1.96,0,9.8,0,0,1.96,0,7.84,0,0,0,0,0,0,0
