stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,99.89,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,95,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,279.91,0,18.88,0.82,0,0.82,0,0,212.6,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,441.51,0,29.81,0,0,2.42,0.81,0,236.87,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,0,44.76,0,1.15,8.61,0,0,0,0,0,0,0.57,0,1.15,9.75,0,0,0.57,577.25,0.57,13.77,0.57,0,1.72,0.57,0,156.65,0,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0,0,117.78,0,0.98,7.85,0,0,0.98,0.98,0,1.96,0,0,0.98,15.7,0,0.98,0.98,1111.08,0,14.72,0,0,0.98,0,0.98,178.64,0,0,1.96,0,3.93
 72-82,0,0,0,0,3.93,3.93,0,213.02,0,1.96,29.45,0,0,0,1.96,0.98,0.98,0,0,0,24.54,0,0,0,1292.85,0,37.3,3.93,0,4.91,0,0,98.17,0,0,0.98,0,1.96
 84-94,0,0,1.06,0,6.37,2.12,0,148.69,1.06,2.12,23.36,0,0,0,2.12,2.12,1.06,0,2.12,1.06,16.99,1.06,1.06,1.06,679.7,0,21.24,1.06,0,3.19,0,0,48.85,0,1.06,3.19,0,1.06
 96-106,0,0,0,0,5.46,6.56,0,124.58,2.19,0,16.39,0,0,1.09,1.09,1.09,0,0,1.09,0,21.86,1.09,0,0,585.77,0,32.79,2.19,0,2.19,1.09,0,33.88,2.19,0,3.28,1.09,1.09
108-118,0,0,0,0,5.36,3.06,1.53,95.75,0.77,0,18.38,0.77,0,0,0.77,0,0,0,5.36,0,10.72,0,0,1.53,654.9,0,22.21,0.77,0,1.53,0,0.77,19.92,1.53,0,2.3,0.77,0
120,0,0,0,0,13.72,0,1.96,84.27,0,7.84,11.76,0,0,0,3.92,0,0,0,3.92,0,7.84,0,1.96,1.96,734.92,0,29.4,1.96,0,9.8,0,0,27.44,0,0,3.92,0,0
