stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,465.85,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,2.63,7.89,7.89,0,0,21.03,0,0,0,5.26,0,0,0,0,220.81,5.26,65.72,0,0,2.63,0,0,0,0,0
 10-12,0,12.59,15.73,0,3.15,18.88,0,0,0,3.15,0,0,0,0,138.47,6.29,37.76,0,0,0,0,9.44,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1
 24-34,0,0,0,0.82,0,2.46,0,0,0.82,0,0,0.82,1.64,0,12.31,0,0,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,4.83,0,0,0.81,0,0,0,0.81,0.81,18.53,0,0,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,8.61,0,0.57,1.15,0,0.57,0,1.15,1.15,8.61,0,0,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,7.85,0.98,0,1.96,0,0,0,5.89,0,4.91,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,4.91,0,0.98,1.96,0,0,0,2.94,0,13.74,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,4.25,0,0,1.06,0,0,0,1.06,1.06,10.62,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,3.28,0,1.09,2.19,0,0,0,0,0,2.19,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0,0,0,0,0,0,3.83,0,3.06,0,0,0,0.77,0,0,0,0,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
