stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,3.28,1.64,0.82,0,0,0,0,0,0,0,0.82,9.85,0.82,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0.81,0.81,8.86,0,0,0.81,0,1.61,0.81,0,1.61,0,0
 48-58,0,0,6.31,2.87,0.57,0.57,4.02,0,0,0,0,4.59,0,5.74,0,0,0.57,0,1.72,0,0,1.15,0,0
 60-70,0,0,6.87,4.91,0.98,0.98,8.83,0.98,0,0,0,20.61,0,13.74,0,0,0.98,0,3.93,0,0,1.96,0,0
 72-82,0,0,6.87,5.89,0,0.98,9.82,0.98,0.98,0,0,41.23,0,13.74,0,0.98,2.94,0,0.98,0.98,0,1.96,0,0
 84-94,0,0,12.74,3.19,1.06,0,0,3.19,1.06,0,1.06,37.17,0,7.43,0,0,7.43,0,2.12,1.06,0,0,1.06,0
 96-106,0,0,10.93,3.28,1.09,1.09,1.09,1.09,0,1.09,0,24.04,0,2.19,0,0,5.46,0,0,0,0,0,1.09,0
108-118,0,0,6.89,0.77,0.77,0.77,3.06,0.77,0.77,0.77,1.53,15.32,0,6.13,0,0,6.89,0,0.77,0.77,0,0,0,0.77
120,0,0,3.92,0,1.96,0,1.96,3.92,0,1.96,0,15.68,0,19.6,1.96,0,1.96,0,0,0,0,0,0,0
