stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,12.59,3.15,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,140,0,1,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,1.64,0,0,0.82,0.82,1.64,0,9.85,0,0,0,229.84,0,1.64,0,0.82
 36-46,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0,1.61,1.61,0.81,6.45,1.61,0,0,140.99,0,0.81,0.81,0
 48-58,0,0,0.57,0,1.15,0.57,1.15,0,0,0,0,0,0,1.15,0.57,0,4.59,0,0,0,60.25,0,1.72,0,0
 60-70,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0.98,0.98,0,0,3.93,0,0,0,123.67,0,0,0,0
 72-82,0,0,5.89,0,3.93,0.98,0.98,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,97.18,0,0,0,0
 84-94,0,0,1.06,0,2.12,3.19,0,0,2.12,1.06,0,0,0,0,3.19,0,0,0,0,0,214.53,0,0,1.06,0
 96-106,0,0,22.95,0,2.19,3.28,1.09,0,4.37,2.19,1.09,1.09,0,2.19,3.28,0,8.74,6.56,0,0,257.91,0,0,0,0
108-118,0,0,16.85,0.77,0.77,4.6,1.53,0,1.53,1.53,0,0.77,0,2.3,0,0.77,5.36,1.53,0,0,169.28,0,0,0,0.77
120,0,0,9.8,0,1.96,5.88,0,1.96,1.96,1.96,0,0,0,5.88,3.92,0,0,0,0,0,131.31,0,0,0,0
