stage,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,11.49,0,0,0,2.46,0,0
 36-46,0,2.42,0,0,0,0,0,0,31.42,0,0.81,0,8.06,0,0
 48-58,0,4.59,0,0.57,0,1.15,0,0,38.44,0,0,0.57,5.16,0,0
 60-70,0,21.59,0,0.98,0,0.98,0.98,0,53.98,0,0,0,7.85,0,0
 72-82,0,10.8,0,3.93,0,0,0,0,20.61,0.98,0,0,0.98,0,0
 84-94,0,13.81,0,1.06,0,1.06,1.06,3.19,15.93,0,0,0,1.06,0,1.06
 96-106,0,9.84,1.09,0,0,2.19,0,0,13.11,0,0,0,2.19,0,0
108-118,0.77,9.96,0,1.53,1.53,1.53,0,0.77,9.96,0,0,0,0.77,0.77,0
120,0,5.88,0,1.96,0,0,0,1.96,29.4,0,0,0,0,0,0
