stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,65.89,1937.16,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,12.26,2212.8,6.13,0,0,0,0,0,6.13,0,0,0,177.76,0,49.04,6.13,0,0,0,0,0,0
  7-9,2.63,42.06,184.01,0,0,10.51,0,0,2.63,0,0,0,2021.48,13.14,1240.75,5.26,18.4,0,2.63,0,0,0
 10-12,0,25.18,138.47,0,0,9.44,0,0,0,0,0,0,953.53,15.73,837.09,0,3.15,0,62.94,0,0,0
 14-21,0,0,0,24,4,1,0,4,0,1,10,4,10,1,21,0,0,65,0,11,22,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,1.64,4.1,0,0,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,2.3,0,0,0,0,0,10.33,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.91,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
