stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,1,1,3,0,2,0,0,0,0,0,0,1,0,0,3,30,0,2,0,1,1,5,4,16,0,0
 24-34,3.28,0,50.07,0,5.75,0,0,0.82,0.82,0,0,24.63,0,0,4.1,235.59,0.82,0.82,0.82,0,0,0,0,44.33,0,0
 36-46,3.22,0.81,87.01,0,4.03,0.81,0,0,0,0,0,10.47,0,0,0.81,145.83,0.81,2.42,0,0,2.42,0,0,27.39,0,0
 48-58,1.15,0,105.01,0.57,5.16,0,0.57,0,0,0,0,17.21,0,0,3.44,80.33,0,0,0.57,0,0.57,0,0,12.05,1.72,1.15
 60-70,3.93,0,77.54,1.96,6.87,1.96,0,0,0.98,2.94,0,21.59,0.98,0.98,1.96,48.09,0,0,0,0,0,0,0,1.96,0,0
 72-82,4.91,0,22.58,0,4.91,0,0.98,0,0,0,0,8.83,0,0,1.96,31.41,0,0,0.98,0,0.98,0,0,0.98,0,0
 84-94,1.06,1.06,19.12,0,3.19,0,0,1.06,0,0,0,4.25,0,1.06,1.06,12.74,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,1.09,0,8.74,0,1.09,0,0,0,0,0,0,1.09,0,0,0,8.74,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,8.43,0,2.3,0,1.53,0,0,0,0.77,3.06,0,0,0,11.49,0,0,0,0,0,0,0,0.77,0.77,0
120,3.92,0,23.52,0,7.84,1.96,5.88,0,1.96,0,0,9.8,0,0,1.96,31.36,0,0,0,0,0,0,0,0,0,0
