stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,11,0,31,8,0,0,0,0,0,5,0,0,22,0,0,0,0
 24-34,0,0,0,8.21,0.82,9.85,0,12.31,0,0,0,0,0,0,0.82,0,100.14,0,83.73,34.48,0,1.64,0,0,0.82,0,0,0,53.36,4.1,0,0,0
 36-46,0,0,0,3.22,0,8.86,0,20.14,2.42,0,0,0,0.81,0,0,1.61,142.6,0,60.43,26.59,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0.81,0
 48-58,0,0,0,0,0,10.33,1.15,27.54,1.15,0,0.57,0,0,0,0,1.72,152.63,0.57,44.76,25.82,0,2.87,0,0,0,0,0,0,0,2.87,0.57,0,0
 60-70,0.98,0,0,0,0,8.83,0.98,20.61,10.8,0,0,0,0,0,0,0,172.75,0.98,28.46,22.58,0.98,5.89,0,0,0,0,0,0,0,2.94,2.94,0,0.98
 72-82,0,0,0,1.96,0,19.63,0,28.47,34.36,0,0,1.96,0,0,0,0,219.89,0.98,34.36,35.34,0,17.67,0,0,0.98,0,0,0,0,1.96,7.85,0.98,0.98
 84-94,0,0,0,2.12,0,21.24,0,36.11,24.43,0,0,1.06,0,0,0,2.12,165.68,0,15.93,21.24,0,16.99,0,1.06,2.12,0,0,1.06,0,1.06,6.37,0,1.06
 96-106,0,0,0,1.09,0,22.95,1.09,12.02,44.81,0,0,2.19,0,0,0,3.28,172.67,3.28,27.32,33.88,0,18.58,0,2.19,0,0,1.09,0,0,2.19,7.65,3.28,1.09
108-118,0,0,0.77,0.77,0,18.38,0,18.38,55.15,0,0,0.77,0,2.3,0,0.77,209.11,0.77,26.04,39.83,2.3,24.51,0,1.53,0,0,0,0,0,1.53,2.3,0,0.77
120,0,0,0,0,0,7.84,0,13.72,68.59,1.96,0,0,1.96,1.96,1.96,0,170.5,5.88,7.84,33.32,0,5.88,0,0,0,0,0,0,0,1.96,3.92,0,0
