stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,0,0,0,0,86.75,0,0,0,0,7.89,0,0,0,0,0,0,0,0,191.9,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,3.15,0,0,59.79,0,0,3.15,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,3,5,0,26,0,0,5,0,2,0,0,0,0,1,0,0,3,220,3,2,0,1,0,0,0,13,0,5,55,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,16.42,0,0,1.64,0,0,0,0,0,0,5.75,0,0,1.64,172.38,0,4.1,0,0,0,0,0,0,0,0,39.4,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,84.6,0,0.81,8.86,0,0,0,0,0,0,3.22,0,0,1.61,250.56,0,1.61,0.81,0,0,0,0,0,0,0,47.53,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,365.51,0,0,18.94,0,0,0.57,0,0.57,0,2.87,0,0.57,1.15,236.41,0,2.87,0,0,0.57,0.57,0,0,0,0,64.84,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,724.36,0,0,20.61,0,0,0,1.96,0,0.98,5.89,0.98,0,0.98,483.89,0,1.96,0,0,0,0,0,0,0,0,82.45,0,0,0,0,0
 72-82,0,0,0,0,5.89,0.98,0,853.06,0,0.98,31.41,0.98,0,0,0,0,0,11.78,0,0.98,0,523.23,0,6.87,0,0,0,2.94,0,0,0,0,53.99,0,0,0.98,1.96,1.96
 84-94,0,0,2.12,0,4.25,3.19,0,690.32,0,1.06,32.92,1.06,0,0,0,1.06,1.06,7.43,0,1.06,4.25,228.34,0,2.12,0,0,0,0,0,0,0,0,30.8,0,0,1.06,0,0
 96-106,0,0,0,0,6.56,2.19,2.19,533.31,0,0,25.14,0,0,0,0,1.09,0,7.65,0,0,2.19,237.15,0,9.84,1.09,0,0,1.09,0,0,0,0,13.11,0,1.09,0,1.09,1.09
108-118,0,0,0,0,2.3,0.77,0,327.83,0.77,0.77,22.21,0,0,0,0.77,0,0,8.43,0,0,1.53,248.17,0.77,4.6,0,0,0,0,0,0,0,0,13.02,0.77,0,0,0.77,0
120,0,0,0,0,5.88,0,0,221.46,0,0,19.6,0,0,0,0,0,0,5.88,0,0,0,233.21,1.96,3.92,1.96,0,0,0,0,0,0,0,9.8,0,0,0,0,0
