stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,6.57,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0.57,2.3,0,0,0,0,5.16,0,1.15,0,1.15,1.72,0,0,0,0,0.57,0.57,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,2.94,0,0.98,19.63,0,0,0,0,10.8,0,0,0,0.98,4.91,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,3.93,0,0,0,1.96,2.94,2.94,1.96,98.17,0,0,0.98,1.96,16.69,0,7.85,0,2.94,21.6,0,0,0.98,0,4.91,0.98,1.96,0.98,0,0
 84-94,0,6.37,1.06,1.06,0,1.06,3.19,1.06,0,151.87,0,1.06,0,0,39.3,0,2.12,0,2.12,14.87,1.06,0,0,0,8.5,2.12,0,0,1.06,0
 96-106,0,4.37,0,2.19,2.19,4.37,3.28,1.09,2.19,232.78,1.09,1.09,0,1.09,21.86,1.09,6.56,1.09,6.56,22.95,0,0,0,1.09,5.46,2.19,0,0,0,1.09
108-118,0,3.83,0.77,0.77,1.53,9.19,4.6,0.77,0,186.89,0,0,0,0,47.49,0,2.3,0,9.19,23.74,0,0.77,0,0,7.66,1.53,0,0,0.77,0.77
120,0,0,0,0,1.96,0,1.96,3.92,0,115.63,0,0,0,0,19.6,0,1.96,0,3.92,17.64,0,0,0,0,3.92,1.96,0,0,1.96,0
