stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,42.91,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,15.77,0,0,0,18.4,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,205.04,7.89,0,0,68.35,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,3.15,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,0,0,0,78.67,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,7,3,0,8,0,0,2,0,0,0,0,0,0,0,0,4,0,0,5,67,0,0,0,2,0,0,10,1,13,14,0,0,0
 24-34,0,0,0.82,0,0,0,0,9.85,0,0.82,1.64,0,0,0.82,0,0,0,1.64,0,12.31,0,0,2.46,123.95,0,0,1.64,0,0,0,0,0,4.93,22.16,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,22.56,0,1.61,4.03,0,0,0.81,0,0,0.81,0,0,24.98,0,0,8.06,127.3,0,0,2.42,0,0,0,0,0,0.81,30.62,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,33.28,1.72,1.15,13.77,0,0,0,0.57,0,0,0,0,19.51,0,1.15,2.3,83.78,0.57,0,0,0,0,0,0,0,0,17.79,0.57,0,0.57
 60-70,0,0,0,0,3.93,0,0,40.24,0.98,0.98,15.7,0,0,1.96,0,0.98,0,0,0,13.74,0,0,0.98,136.43,0.98,0,1.96,0,0,0.98,0,0,0,10.8,0,0,0
 72-82,0,0,0,0,3.93,4.91,0,29.45,0,0,14.72,0,0,0.98,0,1.96,0,0,0,21.6,0,0,4.91,56.94,0,1.96,0,0,0.98,1.96,0,0,0,0.98,2.94,0,0.98
 84-94,0,0,0,0,3.19,2.12,0,14.87,0,1.06,6.37,0,0,0,0,0,1.06,3.19,0,14.87,1.06,0,0,31.86,2.12,0,0,0,0,1.06,0,0,0,3.19,3.19,0,0
 96-106,0,0,0,0,1.09,1.09,0,18.58,1.09,0,12.02,0,0,0,1.09,0,0,0,0,19.67,1.09,3.28,3.28,32.79,1.09,2.19,0,0,1.09,3.28,0,0,0,3.28,0,1.09,0
108-118,0,0,0,0,5.36,0.77,0,15.32,1.53,2.3,7.66,0.77,0,0,0,0.77,0.77,0,0,10.72,0,1.53,3.06,43.66,2.3,2.3,0.77,0,0.77,4.6,0,0.77,0,2.3,0,0,0
120,0,0,0,0,1.96,1.96,1.96,17.64,3.92,0,5.88,0,0,0,0,0,1.96,0,3.92,7.84,0,0,1.96,48.99,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0
