stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,4,26,1,0,0,1,0,1,0,1,6,0,0,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,0,0,0,0,0,0,0,0,0,10.67,0.82,0,4.1,41.04,1.64,0,0,0,0,0,1.64,0,5.75,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,5.64,0,0,0,0.81,0,0.81,0,0,0,0,6.45,0,0.81,2.42,30.62,0.81,0,0,0,0.81,0,0,0,11.28,0.81,0.81,0.81,0.81
 48-58,0,0,0,0.57,0,0,8.61,0,0.57,1.72,2.3,0,1.15,0.57,0,0.57,0.57,6.89,0,0,0.57,19.51,0,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,1.96,0,0,19.63,0,0,0.98,3.93,0,0,0.98,0.98,0,0,3.93,0,0.98,0.98,37.3,0,0,0,0,0.98,0,0,0,2.94,0.98,1.96,0,0
 72-82,0,0,0,0.98,0,0,9.82,0,0,0.98,12.76,0.98,0.98,1.96,0,0,0,17.67,0,0.98,1.96,54.97,0.98,0,1.96,0,0,0,0,0,1.96,1.96,0,0.98,0
 84-94,0,0,0,3.19,0,1.06,8.5,0,0,1.06,2.12,0,0,3.19,0,0,1.06,8.5,1.06,0,1.06,29.74,0,0,1.06,0,0,0,0,0,1.06,3.19,3.19,1.06,0
 96-106,0,1.09,0,1.09,0,0,3.28,0,0,0,5.46,0,0,0,0,0,0,7.65,0,1.09,0,15.3,0,0,0,0,0,0,0,0,1.09,1.09,0,2.19,0
108-118,0,0,0,0,0.77,0,5.36,0,0.77,0,3.83,0,0,0,0,0,0,6.13,0,1.53,0,28.34,0,0.77,0,0,0,0,0,0,1.53,0,0.77,0.77,0
120,0,0,0,1.96,1.96,0,3.92,1.96,1.96,0,3.92,0,0,0,0,0,0,9.8,0,0,1.96,29.4,3.92,0,1.96,0,0,0,0,0,0,0,3.92,0,0
