stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,97.56,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,9,0,0,156,0,0,0,2,0,0,0,1,0,0,0,0,0,2,472,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
 24-34,0,0,4.93,0.82,0,231.48,0,0,0,8.21,0,0.82,0,0.82,0,0,0.82,0,0,2.46,640.27,0.82,0.82,0.82,0,0,0.82,0,0,0.82,18.06,0,0,2.46,0,0
 36-46,0,0,1.61,0,0,228.81,0,0,0,20.14,0.81,0,0.81,0,0,0,4.83,0,0,0.81,489.85,0,0.81,0.81,0,0,0.81,0.81,0,0,16.11,0,0,0.81,0,0
 48-58,0,0,2.87,0,0,227.8,0,0,0,28.12,0,0,0,0,0,0,5.74,0,0.57,1.72,313.3,0,0,1.15,0,0.57,1.72,0,0,0,9.75,0,0,1.15,0,0
 60-70,0,0,0,0,0,217.9,0,0,1.96,35.33,0,0,0,0,0,0,1.96,0,1.96,0,261.08,0,0.98,0,0,0,0,0,0,0,3.93,0,1.96,0,0,0
 72-82,0,0,6.87,0,0,238.54,0,0.98,0,32.39,0,0,0,0,0.98,0,8.83,0.98,0,0,237.56,0,2.94,0.98,0,0,1.96,0,0,0,1.96,0,0,2.94,2.94,0
 84-94,0,0,4.25,0,0,187.98,1.06,0,0,28.68,0,0,1.06,0,1.06,0,9.56,0,1.06,0,140.19,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,4.37,0,0,158.46,0,0,0,30.6,1.09,0,1.09,1.09,0,1.09,4.37,0,0,0,118.03,1.09,0,0,0,0,4.37,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,4.6,0.77,0,110.3,0,0,0,27.57,0,0,0,0,0,0,3.06,0,0,0,175.41,0,3.06,2.3,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,1.96,1.96,99.95,0,0,1.96,35.28,1.96,0,1.96,0,0,1.96,1.96,0,0,1.96,156.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
