stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,131.78,1660.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0
  5-6,49.04,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,30.65,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2,21,0,0,0,0,0,0,6,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,2.46,18.88,0.82,0.82,0,1.64,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,15.31,0,0.81,0,0,1.61,0,2.42,0,0,0.81
 48-58,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,0,0,0,0,1.72,3.44,4.59,0,0.57,0,0,0.57,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,0,3.93,0,0,1.96,0.98,0,0,0,0,0,0.98,3.93,13.74,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,3.93,0.98,0.98,0.98,19.63,0,0,0,0,0,15.71,4.91,11.78,0,0,0,0,0.98,0,0.98,0.98,1.96,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,36.11,0,0,0,0,0,11.68,5.31,12.74,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,2.19,1.09,6.56,0,0,3.28,187.97,0,1.09,0,0,0,19.67,7.65,17.49,0,0,0,0,1.09,1.09,1.09,0,0,0
108-118,0,0,0.77,0.77,0.77,0,6.89,0,0,1.53,321.7,0,0,0.77,0,0.77,16.09,3.83,22.21,0,0.77,0,0.77,1.53,0.77,0,0,0,0
120,0,0,0,0,5.88,1.96,5.88,0,0,0,250.85,0,0,0,1.96,5.88,21.56,0,5.88,0,0,0,5.88,1.96,0,0,0,0,0
