stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,13.14,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0.82,0,0,0,5.75,7.39,0,0,34.48,0.82,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,4.83,0,0.81,0,0,0,1.61,0,10.47,2.42,0,0,51.56,0.81,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,0.57,1.15,0,1.72,0,0.57,0,0,0.57,0.57,0,6.31,2.3,0.57,0,23.53,0,0,0
 60-70,0,1.96,0,0.98,0,2.94,0,0,0,2.94,0,0,2.94,0,0,0,0,0.98,0,0,0.98,1.96,2.94,0,17.67,0.98,0,0.98
 72-82,0,1.96,0,3.93,0.98,2.94,1.96,0.98,0.98,0,0,0,6.87,0.98,2.94,0,0,0.98,2.94,0,10.8,4.91,5.89,0,18.65,0,0.98,1.96
 84-94,0,0,0,7.43,0,3.19,1.06,0,1.06,10.62,0,0,8.5,0,3.19,0,0,2.12,2.12,1.06,3.19,2.12,7.43,0,70.09,2.12,0,3.19
 96-106,0,3.28,0,14.21,0,0,0,0,0,8.74,1.09,0,13.11,0,4.37,1.09,0,0,2.19,0,5.46,4.37,3.28,0,54.64,0,0,3.28
108-118,0,0.77,0.77,13.02,0,0.77,1.53,0,0.77,9.19,0,0.77,12.26,0,0,0.77,0,0.77,3.83,0,2.3,5.36,3.06,0,44.43,2.3,0,7.66
120,0,0,0,1.96,0,0,5.88,0,0,3.92,0,0,3.92,0,0,0,0,0,3.92,0,0,5.88,3.92,0,31.36,1.96,0,1.96
