stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0.82,0,1.64,0,0
 36-46,0.81,0,0,0,0.81,0,0,0,0,0,4.83,3.22,0.81,0.81,7.25,0,0,0.81,0.81,0,1.61,0,0.81
 48-58,0.57,0,1.15,0,0,0,0,0,0,0,8.61,0,0,0,6.31,0,0,0,0.57,0,1.15,0,9.18
 60-70,0.98,0,0.98,0.98,0,0,0,0.98,0,0,2.94,0,0,0,5.89,0,0,0,0,0,0,0,2.94
 72-82,0,0,3.93,0.98,0,0.98,0,0,0,0,1.96,0.98,0,0.98,15.71,0.98,0,0,0.98,0,0.98,0.98,21.6
 84-94,3.19,0,2.12,1.06,0,0,0,0,0,1.06,3.19,0,1.06,0,8.5,1.06,0,0,0,0,1.06,0,22.3
 96-106,1.09,1.09,3.28,1.09,2.19,0,0,1.09,0,1.09,3.28,2.19,0,1.09,8.74,0,2.19,0,1.09,0,3.28,0,27.32
108-118,2.3,0,3.06,0.77,1.53,0,0,0.77,1.53,0,4.6,0.77,0,1.53,9.96,3.83,1.53,0,0,0,0.77,0,33.7
120,3.92,0,1.96,0,3.92,0,0,0,0,0,1.96,3.92,0,0,15.68,1.96,0,0,0,1.96,3.92,0,5.88
