stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,27,2,0,0,0,0,21,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,187.98,9.85,0.82,0,0.82,1.64,45.15,0,0,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0.81,1.61,0,0,0,0,0.81,0,1.61,0,0,359.33,13.7,0,0,0,0,58.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,16.64,0,0,0,7.46,0,0,0,0,0,0,6.31,0,2.3,405.68,13.77,0.57,0,1.15,0,50.49,0,0,0,0.57
 60-70,0,0.98,0,0.98,0,0,56.93,0,0,0,12.76,0.98,0.98,0,0,0.98,0,3.93,0,1.96,938.33,14.72,3.93,0,0.98,0,80.48,0,0,0,0
 72-82,0,7.85,0,6.87,1.96,0,92.28,0.98,0,2.94,27.49,2.94,6.87,0,0,0,0,14.72,0.98,3.93,1094.55,37.3,1.96,0,1.96,0.98,50.06,0,0,0,0.98
 84-94,0,11.68,0,5.31,2.12,0,82.84,0,0,0,16.99,1.06,6.37,0,0,0,0,4.25,0,3.19,611.73,20.18,8.5,1.06,2.12,0,24.43,0,0,1.06,0
 96-106,0,3.28,0,3.28,0,1.09,77.59,0,0,0,27.32,2.19,15.3,1.09,0,0,2.19,7.65,0,2.19,560.63,48.09,8.74,0,2.19,0,20.76,0,2.19,1.09,1.09
108-118,0,2.3,0.77,4.6,0,0,53.62,0,0.77,0,15.32,1.53,11.49,0.77,0.77,0,0,10.72,0,0.77,621.96,33.7,2.3,0.77,0,0.77,9.19,0,0,0,0
120,0,0,0,1.96,0,0,43.12,0,1.96,0,7.84,0,29.4,0,1.96,1.96,0,17.64,0,3.92,564.42,21.56,1.96,0,1.96,0,15.68,1.96,0,0,0
