stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0.82,0,0,0,0,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0,13.7,0,1.61,0,0,0,0,0,0.81,0,0,0,29.81,0,0.81,0,0,0,0,0,0,0,10.47,0,0,0
 48-58,0,0,0.57,0,57.95,0,1.72,0,0,0,0,0,0.57,0,0,0.57,26.4,0,0.57,0,0,0,0,0,0,0,10.9,0,0,0
 60-70,0,0,0,0,336.66,0,9.82,0,0.98,0,0,0.98,0.98,0,0,0,38.28,0,0,0,0,0,0,0,0,0,12.76,0,0,0
 72-82,0,0,3.93,0,636.12,0.98,39.27,0.98,0,0,0,0,3.93,0,0,0,53.01,0,1.96,0.98,0,0,0.98,0,0,0,14.72,0,0.98,0.98
 84-94,0,0,2.12,0,495.97,0,15.93,0,0,0,1.06,0,3.19,1.06,2.12,0,33.99,0,1.06,0,0,1.06,1.06,0,0,0,4.25,0,0,0
 96-106,0,0,2.19,1.09,441.51,0,21.86,1.09,1.09,1.09,0,1.09,7.65,0,0,1.09,29.51,0,1.09,2.19,0,0,3.28,1.09,1.09,0,1.09,1.09,1.09,0
108-118,0,0,2.3,0.77,294.9,0,16.85,0.77,0,0,0.77,0,3.83,0,0,0.77,34.47,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0.77
120,0,0,5.88,0,307.69,1.96,7.84,0,1.96,1.96,0,1.96,7.84,1.96,0,0,54.87,0,0,0,0,0,0,0,0,0,1.96,0,0,0
