stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.12,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,25,5,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,7,0,0,13,184,0,0,2,6,0,2,20,1,17,55,0,0,0,0,1
 24-34,0,0,0,0,4.93,0.82,0,19.7,0,1.64,0.82,8.21,0,0,3.28,0,0,0,0.82,0,0,20.52,0,0,8.21,221.63,0,2.46,2.46,0,0,0.82,0,0.82,3.28,50.89,0,0,4.1,0,0
 36-46,0,0,0,0,4.83,0.81,0,46.73,0,0,4.03,9.67,0,0,1.61,0,0,0,1.61,0,0.81,29,0,0.81,6.45,248.15,0.81,3.22,0.81,0,0,1.61,0,0,0,49.95,0,0,4.03,0.81,0
 48-58,0,0,0,0,5.74,0.57,0,87.79,0,0.57,3.44,29.84,0,0,0.57,0.57,0,0.57,0.57,0,0.57,48.2,0.57,2.87,6.31,176.73,1.15,2.3,0.57,0,0,2.3,0,0,0,40.17,0,0,0.57,0,1.15
 60-70,0,0,0,0,2.94,0,0,68.71,0,2.94,0.98,30.43,0,0,0,0.98,0,0,0,0,0,50.06,0,2.94,6.87,153.12,1.96,1.96,0.98,0,0,4.91,0,0,0,16.69,0,0.98,2.94,0,0
 72-82,0,0,0.98,0,2.94,0,0,52.03,0,0,4.91,28.47,1.96,0.98,0.98,0.98,0.98,0,0.98,0,0.98,46.14,0,1.96,1.96,109.95,0.98,0.98,2.94,0,0,3.93,0,0,0,9.82,0.98,0.98,1.96,0.98,0.98
 84-94,0,0,0,1.06,4.25,0,0,33.99,0,3.19,0,24.43,1.06,0,0,4.25,1.06,0,0,0,1.06,40.36,0,3.19,5.31,50.98,2.12,1.06,0,0,0,9.56,0,0,0,4.25,0,1.06,4.25,1.06,1.06
 96-106,0,0,1.09,0,10.93,0,0,25.14,0,1.09,0,15.3,3.28,0,1.09,0,1.09,1.09,3.28,0,0,36.06,1.09,0,2.19,38.25,0,1.09,4.37,0,2.19,3.28,0,0,0,3.28,0,1.09,6.56,2.19,0
108-118,0,0,0,0,7.66,0.77,0.77,19.92,0.77,0.77,0,8.43,1.53,0,0,1.53,1.53,0,0,1.53,0.77,16.85,0,0.77,3.83,47.49,0.77,0,3.83,0,0,3.83,0,0,0,1.53,0.77,0,4.6,0,0.77
120,0,0,0,0,3.92,0,0,17.64,0,0,1.96,17.64,0,0,0,3.92,0,0,5.88,1.96,0,11.76,1.96,0,1.96,25.48,0,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0
