stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,20.52,0.82,0,5.75,0,0,1.64,0,0,0,0,0.82,2.46,0,1.64,33.66,0.82,0.82,0,0.82,0,0,4.1,0,0,1.64,0.82
 36-46,0,1.61,0,0,0.81,0.81,0,0.81,0,0,0,0,0,1.61,0,0.81,11.28,0,0,0,0,0,0.81,3.22,0,0,0,0.81
 48-58,0,0,0,0,4.02,0.57,0,0,0,0,0,0,0,1.72,0,0,5.74,0,0.57,0.57,0.57,0.57,0,2.3,0,0,0,0
 60-70,0,0.98,0,0,5.89,0.98,0,0.98,0,0,0,0,0,1.96,0,0,6.87,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,3.93,0,0,4.91,0,0,2.94,0,0.98,0.98,0,0,2.94,0,0.98,14.72,0,0,0,3.93,0,0,0,0.98,0,1.96,0.98
 84-94,0,1.06,1.06,0,1.06,0,0,2.12,1.06,2.12,0,0,0,0,0,0,6.37,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,3.28,1.09,1.09,3.28,0,0,0,0,0,3.28,0,0,4.37,0,1.09,0,3.28,0,0,1.09,1.09,2.19,1.09,0
108-118,0,3.06,2.3,0.77,8.43,0,0,3.83,0.77,0,0.77,0.77,0,11.49,0,0,13.79,0,0,0,0.77,0,0,0.77,0,0,0.77,0.77
120,0,3.92,0,0,0,0,0,3.92,0,0,0,0,0,7.84,1.96,0,9.8,1.96,0,0,0,0,0,0,0,1.96,0,0
