stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,18.4,0,0,0,34.17,0,0,5.26,0,0,0,0,0,0,0,0,149.84,5.26,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,15.73,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,254.9,12.59,0,0,88.12,0,0,9.44,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,5,0,5,1,0,0,0,0,0,0,0,3,0,0,38,0,0,0,0,0,0,0,4,0,0,4,14,0,0,0,0,1
 24-34,0,0,0,0,1.64,0,0,13.13,2.46,0,0,0,0,0,0,0,15.6,0,1.64,102.61,0,1.64,0.82,0,0,5.75,0,0,0,0,0.82,14.78,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,2.42,0,21.75,0.81,0,0,0,0,0.81,0,0,4.83,0,1.61,57.2,0,3.22,0,0,0,1.61,0,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,25.25,2.87,0.57,0,0,0,0,0.57,1.15,9.75,0,0.57,46.48,1.15,0.57,0.57,0,0,0.57,0,0,0,0,0,9.18,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,38.28,5.89,0,0,0,0,0,0,0,5.89,0,2.94,61.84,0.98,0.98,0,0,0,1.96,0,0,0,0.98,0,12.76,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,19.63,3.93,0.98,0,0,0,0,1.96,0.98,7.85,0,0.98,44.17,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,12.74,1.06,2.12,0,1.06,0,0,0,0,8.5,0,0,22.3,0,2.12,0,0,0,1.06,0,0,0,0,0,4.25,0,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,7.65,3.28,2.19,0,1.09,0,0,0,0,5.46,0,0,17.49,0,0,1.09,0,0,3.28,0,0,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0.77,1.53,0,10.72,6.13,0,0,0,0,0.77,0,0,9.19,0,2.3,20.68,0,0.77,2.3,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,3.92,0,11.76,7.84,1.96,0,0,3.92,1.96,0,1.96,5.88,1.96,1.96,47.03,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
