stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,232.93,0,0,0,0,0,0,0,0,6.13,0,0,0,0,85.81,6.13,0,0,18.39,12.26,0,0,0,0,0,0,0,0
  7-9,34.17,10.51,0,21.03,0,0,2.63,0,0,0,7.89,0,0,0,0,55.2,26.29,0,0,254.99,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,18.88,0,0,0,0,6.29,6.29,0,0,53.5,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,3,0,0,0,1,2,0,3,0,0,6,0,0,0,3,0,0,24,1,1,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0.82,0,0,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,5.64,0.81,0.81,0.81,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,2.87,0,0.57,0,0,0,0.57,0,0,4.02,0,0.57,0,0,0.57,0,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0.98,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,5.31,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,0,0,3.28,0,0,2.19,1.09,1.09,1.09,5.46,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,1.53,0.77,0,0,4.6,0,1.53,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
