stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,23,1,0,0,0,0,0,0,4,1,6,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,4.1,0,0,0.82,2.46,0,0,0,0,2.46,0.82,16.42,0,13.13,0,0,6.57,71.41,0.82,12.31,1.64,0,0,0,0.82,3.28,0.82,33.66,0,0,3.28,0,0
 36-46,0,0,0,0,0,6.45,0.81,0,0,2.42,0,0,0,0,1.61,0,4.83,0,3.22,0,0,0,42.7,0.81,6.45,0,0,0,0.81,0,4.83,0,13.7,0,0,0.81,0,0
 48-58,0,0,0,0,0,6.89,0,0,0,2.87,0,0,0,1.15,0,0,4.02,0,5.16,0,0,0,35.58,0,6.31,0,0,0,0,0,0,0,9.75,0,0,0,0,0
 60-70,0,0,0.98,0,0,13.74,0,0,0,2.94,0,1.96,0,11.78,0,0,15.7,0,3.93,0,0,0,53,0,2.94,0.98,0,0,0,0,0,0,10.8,0,0,0,0,0.98
 72-82,0,0,0.98,1.96,0,23.56,0,0,0.98,17.67,0,0,0,26.5,0,0,106.02,0,7.85,0.98,0,0,108.96,0,9.82,2.94,0,0,1.96,2.94,0,0,11.78,0.98,0,1.96,1.96,0
 84-94,0,0,2.12,1.06,1.06,20.18,0,0,0,11.68,4.25,0,0,40.36,0,0,418.44,0,2.12,0,0,1.06,71.16,0,6.37,2.12,0,0,6.37,3.19,0,0,5.31,0,0,1.06,2.12,1.06
 96-106,0,0,6.56,4.37,0,22.95,0,0,0,9.84,10.93,0,1.09,48.09,2.19,0,459,1.09,7.65,0,1.09,0,109.28,0,7.65,0,0,2.19,7.65,1.09,0,0,4.37,1.09,1.09,3.28,2.19,0
108-118,0,0,7.66,1.53,0.77,16.09,0.77,0,0.77,5.36,13.79,0,0,23.74,0.77,1.53,1145.88,0,10.72,0,1.53,3.83,124.85,0,4.6,2.3,0,1.53,5.36,1.53,0,0,0,1.53,0,0.77,0,0.77
120,0,0,1.96,0,0,15.68,0,3.92,0,5.88,15.68,0,0,33.32,0,0,421.35,0,9.8,0,1.96,0,115.63,0,3.92,5.88,0,0,3.92,0,0,0,0,0,0,0,0,0
