stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,5.26,0,0,0,0,0,0,31.54,0,0,7.89,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,31.47,0,0,22.03,0,0
 14-21,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,2,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,0,15.6,0,0,0,4.1,0
 36-46,0,0,0,0,2.42,0.81,0,0,1.61,0,0,10.47,0,0,0,3.22,0
 48-58,0,0,0,0,2.87,0.57,0,0.57,1.72,0,0,7.46,0.57,0,0,4.02,0
 60-70,0,0,0,0,4.91,0,0,0,0.98,0,0,7.85,0,0,0,1.96,0.98
 72-82,0,0,0,0,1.96,0.98,0.98,0,0,0,0,5.89,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,1.09,4.37,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0.77,0,0,1.53,0,0,0,0,0
120,0,0,0,0,1.96,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0
