stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,1,0,1,453,25,0,1,0,0,0,0,2,1,0,0,11,0,0,0,0,201,6,0,97,35,1,0,0,1,0,6,2,1,1,0,15,0,0,3,0,0
 24-34,0,0,0.82,239.69,4.93,0,3.28,0,0.82,3.28,1.64,0.82,0,0,0,2.46,0,0,0.82,0,192.08,4.93,3.28,43.51,64.03,1.64,0,2.46,0,0.82,13.95,0,1.64,0,1.64,14.78,0,0,25.45,0,0
 36-46,0,0,0,129.71,1.61,0,3.22,0.81,3.22,2.42,1.61,0,0,0,0,1.61,0,0,0.81,0,116.02,2.42,32.23,17.72,34.64,0.81,0.81,0,0,0.81,12.09,0,2.42,0,0,8.06,0,0,58.01,0.81,1.61
 48-58,0,0,0,201.98,1.15,0,17.79,0.57,18.94,3.44,5.74,1.15,0,0,0,1.15,0.57,0,0,0.57,83.2,0.57,78.61,20.08,52.22,1.15,0,0.57,0,0.57,12.05,0,5.74,0,0,5.16,0,4.59,78.04,2.3,0
 60-70,0,0.98,0.98,306.23,0,0,17.67,0,68.71,6.87,21.59,9.82,0,0,0,0,0,0,0.98,0,107.97,3.93,130.54,11.78,51.04,0.98,0,5.89,0,2.94,11.78,0,5.89,0,0,6.87,0,24.54,89.32,27.48,2.94
 72-82,0,1.96,0.98,427.02,2.94,0,83.44,0,93.26,12.76,50.06,79.51,0.98,4.91,1.96,0,0,0.98,0,0.98,195.35,4.91,131.54,23.56,109.95,0,2.94,13.74,0,10.8,15.71,0,8.83,1.96,0,8.83,2.94,54.97,179.64,88.35,3.93
 84-94,0,5.31,1.06,878.3,6.37,0,64.78,0,194.35,7.43,24.43,120.01,0,6.37,3.19,8.5,0,3.19,1.06,1.06,170.99,16.99,160.37,14.87,53.1,0,1.06,30.8,0,5.31,38.23,0,33.99,1.06,0,3.19,1.06,61.6,168.86,105.14,2.12
 96-106,0,6.56,2.19,1343.11,17.49,3.28,121.31,6.56,260.1,8.74,67.76,232.78,0,8.74,20.76,22.95,3.28,9.84,10.93,0,283.05,19.67,122.4,31.69,194.53,3.28,5.46,39.34,0,28.41,80.87,0,28.41,0,0,13.11,5.46,60.11,246.98,116.93,4.37
108-118,0,1.53,7.66,1452.27,6.89,3.83,51.32,2.3,361.53,6.13,44.43,258.13,0,6.89,19.92,43.66,1.53,4.6,5.36,0.77,235.92,13.02,110.3,30.64,170.81,3.83,4.6,38.3,0,25.28,54.38,0,18.38,0,0,9.19,2.3,39.06,201.45,78.13,3.06
120,1.96,0,1.96,1215.07,21.56,3.92,58.79,5.88,241.05,1.96,45.08,211.66,0,11.76,41.16,15.68,3.92,1.96,7.84,0,209.7,11.76,166.58,23.52,182.26,1.96,0,35.28,0,31.36,58.79,0,13.72,0,0,3.92,1.96,72.51,233.21,78.39,0
