stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,0,10.51,2.63,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,89.38,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,40.91,3.15,0,6.29,0,3.15,0,0
 14-21,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,68,1,0,0,2,3,1,0,5,21,0,0
 24-34,0,0,0,4.1,0,22.16,0,0,0,2.46,0,0,1.64,0,0,0,0.82,16.42,0,0,4.1,156.78,0,2.46,2.46,0,4.1,0,0,0.82,35.3,4.93,0.82
 36-46,0,0,0,0,0,36.26,0,1.61,0,3.22,0,0,0,0,0,0,0.81,21.75,0,1.61,3.22,95.07,0,1.61,0,0,0,0,0,0,23.36,0.81,0
 48-58,0,0,0,0.57,0,32.13,0,0,0,2.87,0,0,0,0,0,0,0,12.05,0.57,0.57,1.15,39.59,0,0,0.57,0,0,0,0,0,7.46,1.15,0
 60-70,0,0,0,2.94,0,29.45,0,0.98,0,3.93,0,0,0,0,0,0,0.98,7.85,0,0,0.98,32.39,0.98,0,0.98,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,0,0,9.82,0,0,0.98,5.89,0.98,0,0,0,0.98,0,0.98,8.83,0,0,3.93,18.65,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,3.19,0,14.87,0,0,0,2.12,2.12,0,0,0,0,0,0,9.56,0,1.06,2.12,15.93,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,8.74,0,0,0,4.37,1.09,0,0,0,0,1.09,0,8.74,0,0,2.19,12.02,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,12.26,0,0,0,2.3,0.77,0,0.77,0,0.77,0,0,3.06,0,1.53,0,12.26,0.77,0.77,0.77,0,0.77,0,0,0,0.77,1.53,0
120,0,0,0,0,0,7.84,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0
