stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,6.57,0,2.46,5.75,0,0,0,0,21.34,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,12.09,0,3.22,1.61,0,0.81,0,0,9.67,1.61,0,0,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,0,0.57,0,0,0,0,0.57,9.75,0,3.44,1.72,0,0,0,0,7.46,0,0,0,0,0
 60-70,0,0,3.93,0,1.96,0,0.98,0.98,0,5.89,0,0,0,1.96,19.63,0,0.98,3.93,0,0,0,0,3.93,0,0,0,0.98,0
 72-82,0,2.94,0,0.98,2.94,2.94,0.98,0,0.98,17.67,0.98,1.96,0,3.93,9.82,0,1.96,8.83,0,0,0,1.96,6.87,0,0,0,0,0
 84-94,0,6.37,0,0,1.06,0,0,0,0,32.92,3.19,1.06,0,9.56,10.62,1.06,2.12,2.12,0,1.06,1.06,0,16.99,0,1.06,1.06,0,0
 96-106,0,9.84,1.09,0,4.37,0,0,0,0,45.9,7.65,1.09,0,8.74,14.21,0,0,4.37,1.09,0,0,2.19,15.3,0,0,0,1.09,0
108-118,0,16.85,2.3,0,3.06,0,0,0,0.77,31.4,6.13,3.83,0.77,5.36,11.49,0,1.53,3.06,0,0,0,1.53,9.96,0.77,0,0.77,0.77,0.77
120,0,5.88,1.96,0,0,0,1.96,0,1.96,19.6,5.88,3.92,0,3.92,3.92,0,1.96,1.96,0,0,0,0,5.88,0,0,0,3.92,0
