stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0.82,0,1.64,1.64,12.31,1.64,0.82,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0,0.81,0,0,3.22,0,10.47,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,8.61,0.57,1.15,1.15,0.57,0.57,0,0,0,2.87,0.57,26.4,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0
 60-70,0,0,0,1.96,0,10.8,0,1.96,8.83,0.98,0,0.98,0,0,4.91,0.98,21.59,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0.98,0,0.98,0,21.6,0,1.96,21.6,0,0,0,0,0,7.85,0.98,34.36,0,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0
 84-94,0,1.06,1.06,1.06,0,6.37,0,1.06,54.16,0,0,0,0,0,2.12,2.12,9.56,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,1.09,5.46,0,3.28,14.21,1.09,0,2.19,0,1.09,9.84,0,12.02,0,1.09,1.09,0,2.19,0,0,2.19,0,1.09,0,1.09,1.09,1.09
108-118,0,0.77,0,0.77,0,3.06,0,2.3,18.38,0,0,3.83,0,0,1.53,1.53,12.26,0,0,0,0,0,0.77,0,1.53,0,0.77,0.77,0,0,0
120,0,5.88,0,9.8,0,7.84,0,1.96,9.8,0,0,13.72,0,0,3.92,0,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
