stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,56.65,0,0,28.32,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,4.1,5.75,0,0,0,0.82,0,0,1.64,7.39,4.93,0,0
 36-46,0,0,0,0,0.81,0,3.22,2.42,0,0,0,0,0,0,0,0,0.81,0,1.61,2.42,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,4.02,5.16,0.57,1.15,0,0,0,0,0,0,1.72,0,0.57,5.74,0,0,0,0,0,0,2.87,0,0.57,0,0
 60-70,0,0,0,0,0,0,5.89,9.82,0,0,0,0,0,0,0,0,0,0,3.93,6.87,0,0,0,0.98,0,0,4.91,0,1.96,0.98,0
 72-82,0,0,0,0,0,0.98,2.94,6.87,0,0.98,0,0,0,0,0,0.98,5.89,0.98,0,5.89,0,0,0,0.98,0,0,6.87,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,4.25,13.81,0,1.06,0,0,0,0,0,0,4.25,0,3.19,1.06,0,0,0,0,0,0,9.56,0,0,0,0
 96-106,0,0,0,0,3.28,0,1.09,14.21,1.09,1.09,0,0,0,1.09,1.09,0,4.37,0,1.09,3.28,0,0,1.09,1.09,0,0,7.65,0,0,1.09,0
108-118,0,0,0,0,0,0,3.06,19.15,0,1.53,0,0,0.77,0.77,0,0,2.3,0,4.6,3.06,0,1.53,0.77,0.77,0,0,14.55,0,0,0,0.77
120,0,0,0,0,0,0,11.76,23.52,0,0,0,0,0,0,0,0,1.96,0,3.92,3.92,0,0,0,0,1.96,0,7.84,0,0,0,0
