stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,3.28,0,1.64,0,0,0,0,0,0,0,0.82,0,0,22.98,0,0.82,0.82,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0,0,1.61,0,0,60.43,0,3.22,0,0,0.81,0,0,25.78,0,0,0,0
 48-58,0,0,0,20.66,0,2.87,0,0.57,0,0,0,0,0,3.44,0.57,0,71.15,0,1.72,0,0,0.57,0,0,13.2,0,0.57,0,1.15
 60-70,0,0,0,64.78,0,7.85,0,0,0,0,0,0,0,0.98,0,0.98,64.78,0,0.98,0,0,0,0,0,15.7,0,0.98,0,0
 72-82,0.98,0,0,169.83,0.98,18.65,1.96,0,0,0,0,0,0,11.78,0,2.94,200.26,0,6.87,0,0.98,0,0,0.98,20.61,0,0,0,0.98
 84-94,0,2.12,1.06,183.73,0,18.05,0,0,0,0,0,2.12,0,11.68,0,0,146.56,0,5.31,1.06,0,2.12,0,0,9.56,0,2.12,0,0
 96-106,0,2.19,0,168.3,0,22.95,2.19,0,1.09,0,0,1.09,1.09,10.93,0,2.19,112.56,0,2.19,0,0,2.19,0,1.09,6.56,0,0,1.09,0
108-118,0.77,0.77,0.77,155.49,0,22.98,0,0,0,0,0.77,0,0,13.79,0.77,0,115.66,0.77,6.13,0,0,0.77,0,0,5.36,0.77,3.06,0,0
120,0,0,0,94.07,0,9.8,0,0,0,1.96,0,0,0,1.96,1.96,1.96,54.87,0,7.84,1.96,0,1.96,0,0,3.92,0,0,0,0
