stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,7.89,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,3.15,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,27,46,0,0,0,0,0,1,0,2,0,0,0,0,9,52,0,0,47,15,9,0,0,3,0,8,0,2,1,11,1,1,0,0,2,0,0
 24-34,0,0,0,0.82,14.78,2.46,2.46,0,1.64,4.93,0,0,0,10.67,8.21,0.82,0,0.82,3.28,244.62,0,0.82,146.93,19.7,2.46,1.64,0,0,0,1.64,0,0,0.82,18.88,4.1,1.64,0,0,17.24,0,0
 36-46,0,0,0,0,6.45,0,2.42,0.81,1.61,47.53,0,0,0,14.5,17.72,0,0,0,0.81,431.03,0,3.22,166.77,25.78,2.42,0.81,0,0,0,0.81,0.81,2.42,0,7.25,0,4.83,0,0,12.09,0,0
 48-58,0,0,0,0,12.62,0,9.18,0,4.02,77.46,2.3,0,0,10.9,28.12,0,0,1.15,0.57,705.78,0,6.89,146.89,35,0,0.57,0,0,1.72,1.72,0,0,0,2.3,0,1.72,0,0.57,24.67,0,0.57
 60-70,0.98,0,0,0,30.43,0,12.76,0,13.74,103.06,2.94,1.96,0,11.78,57.91,0.98,0,0.98,0.98,968.76,0.98,14.72,83.43,24.54,0,0,0,0,2.94,5.89,0,0,0.98,0,0,3.93,0,10.8,21.59,0.98,1.96
 72-82,0,0,0,0,36.32,0.98,38.28,0,3.93,124.67,5.89,4.91,0,12.76,64.79,1.96,0,0.98,0,941.41,0.98,8.83,102.09,25.52,0,0.98,0,0,1.96,1.96,0,0,0,0,0,0.98,0,14.72,45.16,6.87,0.98
 84-94,0,0,1.06,0,67.97,1.06,40.36,2.12,13.81,82.84,5.31,2.12,0,9.56,87.09,2.12,1.06,1.06,1.06,630.85,1.06,23.36,71.16,12.74,1.06,0,0,0,0,1.06,0,0,1.06,0,0,1.06,2.12,9.56,37.17,9.56,0
 96-106,0,0,0,0,57.92,2.19,20.76,0,16.39,68.85,6.56,3.28,0,18.58,104.91,3.28,0,0,0,587.95,1.09,16.39,57.92,42.62,3.28,4.37,1.09,0,4.37,17.49,0,0,0,0,0,1.09,0,5.46,41.53,10.93,0
108-118,0,0,0,0,102.64,0,13.02,1.53,26.04,49.79,1.53,6.13,0,5.36,83.49,3.06,0,0.77,0,481.79,0,9.96,36.77,30.64,0.77,1.53,0,0,3.06,9.19,0,0,0,0,0,0.77,0.77,3.06,29.11,8.43,0
120,0,0,0,0,103.87,0,17.64,0,31.36,66.63,5.88,7.84,0,3.92,125.43,1.96,0,0,1.96,478.19,0,7.84,29.4,25.48,1.96,0,0,0,3.92,47.03,0,0,0,0,0,0,1.96,9.8,39.2,7.84,0
