stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,105.42,2951.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1097.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,123.55,0,0,0,31.54,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,12,3,0,23,0,1,0,1,0,4,0,0,26,1,0,0,5,1,1,0,7,53,6,0,0,0,2,1,5,0,0,12,9,0,0,0,2
 24-34,0,0,0,0,3.28,3.28,0,13.95,0,0.82,0,0.82,0,2.46,0,0,59.1,6.57,0,0,22.98,7.39,16.42,0,1.64,60.74,0,0,1.64,0,3.28,0,0,6.57,0.82,2.46,8.21,0,0,1.64,9.85
 36-46,0,0,0,0,2.42,0,0,13.7,0,0,0,0,0,3.22,0,0,31.42,5.64,0,0,10.47,7.25,6.45,0,0.81,49.15,3.22,0.81,0,0,1.61,0,0,5.64,0,0,4.03,0,0,3.22,8.86
 48-58,0,0,0,0,2.3,0.57,0,6.89,0,0,0.57,0.57,0,9.18,0,0,7.46,26.97,0.57,0,10.33,5.16,2.3,0,0.57,21.23,0,0,0,0,1.15,0,0,2.3,0,0,2.3,0,0,2.87,12.62
 60-70,0,0,0,0,1.96,0.98,0,14.72,0,0.98,0,3.93,0,4.91,0,0,7.85,70.67,0,0,6.87,5.89,0.98,0,0,15.7,0.98,0,0,0,0.98,0,0,2.94,0,0,1.96,0,0.98,2.94,15.7
 72-82,0,0,0,0,1.96,3.93,0,12.76,0,0.98,0,9.82,0,2.94,0,0,9.82,73.62,0,0,0.98,6.87,2.94,0.98,0.98,15.71,0,0,0,0,0.98,0.98,0,4.91,0,0,0,0,7.85,3.93,10.8
 84-94,0,0,1.06,0,5.31,1.06,0,14.87,0,0,0,7.43,1.06,3.19,1.06,0,14.87,116.82,0,0,5.31,1.06,4.25,2.12,0,8.5,0,0,1.06,0,3.19,0,0,5.31,0,0,1.06,5.31,4.25,2.12,15.93
 96-106,0,0,0,1.09,3.28,2.19,0,12.02,1.09,1.09,0,7.65,2.19,1.09,0,1.09,18.58,108.19,0,0,3.28,5.46,5.46,0,0,9.84,2.19,0,0,0,4.37,1.09,0,15.3,0,0,0,14.21,12.02,3.28,20.76
108-118,0,0,0,1.53,8.43,9.19,0.77,13.79,0,2.3,0,16.09,1.53,0,0,0.77,20.68,145.53,0,0.77,3.83,5.36,3.83,0.77,0.77,10.72,0,0,0.77,0,4.6,0,0,21.45,0,0,0.77,23.74,15.32,1.53,23.74
120,0,0,0,0,5.88,5.88,0,1.96,0,0,0,1.96,5.88,0,0,0,3.92,78.39,1.96,0,0,1.96,3.92,1.96,0,13.72,1.96,0,0,0,0,0,0,11.76,0,0,0,7.84,3.92,5.88,7.84
