stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,29,0,0
 24-34,0,0,0.82,2.46,0,0.82,0,0,0,0.82,8.21,24.63,0,0.82,0,0.82,0,0,5.75,0,1.64,11.49,0,0.82,0,0,2.46,0,134.62,0,0
 36-46,0,0,0.81,1.61,0,0.81,0,0,0,0,2.42,62.04,0,2.42,0.81,2.42,0,0,12.89,0,0,8.86,0,0,0,0,10.47,0,121.66,0,0
 48-58,0,0,0,0.57,0,2.3,0,0,0,0,5.74,57.38,0,2.87,0,1.15,0,0.57,16.07,0,1.72,9.75,0,0,0,0,1.72,0,107.88,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,1.96,5.89,73.61,0.98,2.94,0,3.93,0,0,26.5,0,0,12.76,0,0,0,0,0,0.98,96.19,0,0
 72-82,0,0.98,0,0,0,7.85,0,0,1.96,0.98,9.82,131.54,0,7.85,0,1.96,0,0,33.38,0,0.98,17.67,0,0.98,0,0,0,0.98,196.33,0.98,0.98
 84-94,0,0,2.12,0,0,4.25,0,0,0,1.06,5.31,157.18,0,16.99,0,3.19,0,0,16.99,0,2.12,21.24,0,0,0,0,0,0,150.81,0,0
 96-106,0,0,4.37,4.37,0,8.74,0,1.09,0,1.09,18.58,194.53,0,21.86,1.09,4.37,0,0,10.93,1.09,4.37,24.04,0,1.09,1.09,0,0,0,216.38,1.09,0
108-118,0.77,0,0,0.77,0.77,4.6,0.77,0,0,0,2.3,167.75,0,16.85,0.77,3.06,0.77,0.77,7.66,0.77,3.06,21.45,0,0.77,0.77,0,1.53,0,153.19,0,0
120,1.96,0,5.88,1.96,0,5.88,0,0,0,3.92,9.8,182.26,0,13.72,0,1.96,0,0,9.8,0,3.92,21.56,0,1.96,0,0,0,0,111.71,0,0
