stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,2,0,0,0,6,0,0,0,4,0,1,4,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,18.06,0,0,1.64,0,0,0.82,12.31,0,0,1.64,9.03,0,0,5.75,0,1.64,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0.81,0,0.81,0,14.5,0,0,0.81,1.61,0,0.81,8.06,0,0,0.81,9.67,0,0,5.64,0,0.81,0
 48-58,0,0,0,5.74,0,0,5.16,0,0,0,0,0,0,0,20.08,0,0,2.87,6.89,0.57,0,12.05,0,0,0,7.46,0.57,0,4.02,0,0.57,0
 60-70,0,0,0,11.78,0,0,3.93,0,2.94,0.98,0,0.98,0,0,27.48,0,0,0.98,6.87,0,0,11.78,0,0,1.96,10.8,0,0,0,0,0,0
 72-82,0,0,0,3.93,1.96,0,3.93,0.98,0,0,0.98,8.83,0.98,0,72.64,0,0,1.96,4.91,0,0,9.82,0,0,0.98,11.78,0,0,0.98,0,0,0
 84-94,0,0,0,32.92,2.12,0,5.31,0,0,0,3.19,26.55,0,1.06,123.2,0,1.06,2.12,15.93,0,0,8.5,1.06,0,4.25,45.67,0,0,0,0,0,0
 96-106,0,0,0,51.36,1.09,0,10.93,0,0,1.09,3.28,51.36,1.09,0,187.97,0,1.09,5.46,9.84,0,1.09,15.3,1.09,0,1.09,25.14,0,0,0,0,0,1.09
108-118,0,0,0,53.62,0.77,1.53,3.83,0,0.77,0,3.06,66.64,0,0,186.89,0.77,0,3.06,15.32,0,0.77,14.55,0,0,5.36,27.57,0,0,0,0.77,0.77,0
120,0,0,1.96,47.03,0,0,5.88,0,0,1.96,0,43.12,0,0,105.83,1.96,3.92,3.92,5.88,0,0,3.92,0,0,1.96,23.52,0,0,0,0,0,0
