stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,368.98,8881.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0
  5-6,122.59,1697.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,39.43,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,28.32,0,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,74,0,0,0,0,0,0,2,0,0,47,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,117.38,0,0,0.82,0,0,0,0,0,0,0,0.82,4.1,0.82,0,6.57,399.76,1.64,0.82,0.82,0,0.82,0,0,0,0,134.62,0,0,0
 36-46,0,0,0,0,2.42,0,0,428.62,0,0,4.03,0,0,0,0,0,0,0,0,2.42,0.81,0,1.61,290.04,0.81,0.81,0,0,0.81,0,0,0,0,129.71,0,1.61,0.81
 48-58,0,0,0,0,0,0,0,362.07,0,0,6.31,0,0,0,0,0.57,0,0,0,4.59,0,0.57,1.15,134.27,0.57,0,0,0,0,0,0,0,0,27.54,0,0,0
 60-70,0,0,0,0,0.98,0,0,320.96,0.98,0,3.93,0.98,0,1.96,0.98,0,0,0,0.98,3.93,0,0,0,95.21,0,0.98,0,0,0.98,0,0,0,0.98,10.8,0,0,0
 72-82,0,0,0,0,5.89,0.98,2.94,155.1,0,0,9.82,0,0,0.98,0.98,0,0,0,0,6.87,0.98,0,1.96,101.11,0.98,0.98,0,0,0.98,0,0,0,0,3.93,0,0.98,0
 84-94,0,0,0,0,2.12,1.06,3.19,107.27,0,0,4.25,1.06,0,0,0,0,1.06,0,0,5.31,0,2.12,0,87.09,2.12,0,1.06,0,1.06,0,0,1.06,0,4.25,0,0,0
 96-106,0,0,1.09,0,5.46,0,12.02,98.36,0,1.09,4.37,0,0,1.09,0,0,0,1.09,0,2.19,0,0,1.09,66.66,0,0,0,0,1.09,0,0,0,0,3.28,1.09,2.19,0
108-118,0,0,0,0,3.06,1.53,26.81,111.06,0,0,5.36,0,0,0,0,0,0,0,0.77,4.6,0,0.77,0,77.36,0.77,0.77,0,0,0.77,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,1.96,1.96,11.76,113.67,0,0,7.84,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,115.63,0,1.96,0,0,3.92,0,0,0,0,3.92,0,0,0
