stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,73.6,13.14,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7,0,0
 24-34,0,0,0,0,3.28,0,1.64,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0.82,9.85,0,0,0,0,0,0.82,0,1.64,1.64,0,110.82,0,0
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,16.92,0,0,0,0,0,0,0,0,3.22,0,125.68,0,0
 48-58,0,0,0,0.57,0.57,0,3.44,0.57,1.15,0,0,0.57,0,0,0.57,0,0,2.3,0,0,0.57,20.08,0,0.57,0,0,0.57,0.57,0,0,2.87,0,132.55,0,0.57
 60-70,0,0,0,0,1.96,0,4.91,0,1.96,0,0,0.98,0.98,0,0,0,0,2.94,0,0,0.98,17.67,0,0.98,0,0,0,0,0,0,1.96,0,143.3,0,0
 72-82,0,0,0,0,0,0,7.85,0.98,2.94,0.98,0,0,0.98,0,0,0,0,1.96,0,0.98,0,12.76,0,0,0.98,0,0,0.98,0.98,0,2.94,0.98,270.94,0,0
 84-94,0,0,0,0,1.06,0,4.25,0,3.19,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,10.62,0,0,0,0,0,1.06,0,0,0,0,230.46,0,1.06
 96-106,0,0,0,1.09,3.28,0,3.28,1.09,1.09,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0,7.65,0,0,0,0,0,1.09,1.09,0,0,0,292.88,1.09,0
108-118,0,0,0,0,1.53,0.77,5.36,0,2.3,0.77,0,0,0,0,0.77,0.77,0,2.3,0,0,0.77,6.89,0,0,0,0,0,1.53,1.53,0,0,0,209.11,0,0.77
120,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,5.88,0,0,0,0,219.5,0,0
