stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,44.06,9.44,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,2,0,0,0,1,15,0,3,0,0,0,0,0,0,0,27,8,0,0,4,0,7,0,7,11,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,0,2.46,0,0,0,0,0.82,0,4.1,0,0.82,0,0,6.57,0,0,81.26,0.82,0,0,9.85,0,0,0,0.82,18.88,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,2.42,0,0,0,0.81,3.22,0,1.61,0.81,0,0.81,0,1.61,0,0,164.36,2.42,0,0,8.86,0,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,9.75,0.57,0.57,1.72,1.15,0.57,0,0.57,0,0,0,1.72,6.89,0,0.57,129.11,0,0.57,0,5.74,0,0,0,0,21.23,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,49.08,0.98,0,1.96,5.89,1.96,0,0,0,0,0,7.85,5.89,0,0,271.88,1.96,0,0,3.93,0,0,0,0,22.58,0,0.98,0,0
 72-82,0,0,2.94,0,2.94,0.98,0,55.95,0,0,1.96,15.71,1.96,0,0,0,0,0,17.67,6.87,0,0,238.54,0.98,0.98,0,8.83,0,0,0,0,18.65,0.98,0,0,0
 84-94,0,0,1.06,0,6.37,2.12,0,52.04,0,1.06,6.37,28.68,2.12,0,0,0,1.06,1.06,20.18,5.31,2.12,0,121.07,1.06,1.06,0,21.24,0,0,1.06,0,7.43,4.25,0,0,0
 96-106,0,0,5.46,0,6.56,4.37,1.09,43.71,0,0,4.37,21.86,2.19,0,0,0,0,0,7.65,16.39,0,0,104.91,2.19,1.09,0,14.21,0,0,0,0,9.84,5.46,0,1.09,0
108-118,0,0,5.36,1.53,11.49,0,1.53,37.53,0.77,0,3.83,27.57,0.77,0.77,3.06,0,1.53,0,3.83,8.43,0.77,0,120.26,0.77,0.77,0,10.72,0,0,0,0,5.36,9.19,0,0.77,0.77
120,0,0,0,1.96,3.92,3.92,0,17.64,0,0,3.92,21.56,0,1.96,3.92,0,0,0,3.92,5.88,0,0,146.98,1.96,0,0,11.76,0,0,0,0,3.92,1.96,0,0,0
