stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,29,3,1,0,3,6,0,0,1,0,0
 24-34,0,0.82,0,1.64,0,0.82,0,1.64,1.64,0.82,16.42,0.82,0,0.82,1.64,0,4.1,1.64,0,1.64,30.37,0.82,0,0.82,0,0,354.61,0,0,0.82,0.82,11.49,0,0,14.78,0,0.82
 36-46,0,1.61,0,4.83,0,0.81,0.81,0.81,0.81,1.61,17.72,0.81,0,0,1.61,0.81,3.22,4.03,0,0,41.09,0.81,0,0,0,0,468.9,0,1.61,0,0,12.89,0,0,11.28,0,0.81
 48-58,0,0.57,0,20.08,0.57,1.72,1.72,4.59,1.15,1.15,12.62,0,0.57,0,0.57,0.57,9.75,6.31,0.57,1.72,51.07,0,1.15,1.15,0,0,370.1,0,0,0,0,10.9,0,0,19.51,0,0.57
 60-70,0,0.98,0,13.74,0,0.98,0.98,4.91,0.98,0,11.78,1.96,0,0,0,0,10.8,5.89,0,0.98,45.15,0,0,0,0,0,233.6,0,0.98,0,0,1.96,0,0,19.63,0,0
 72-82,0.98,2.94,0.98,23.56,0,0,0.98,4.91,7.85,0.98,26.5,0,0.98,0,0.98,0,28.47,3.93,0,1.96,31.41,0,0,1.96,0,0.98,186.52,0,1.96,0,0,3.93,0.98,0,46.14,0,0
 84-94,4.25,2.12,1.06,7.43,0,2.12,6.37,4.25,35.05,0,41.42,5.31,0,0,2.12,0,13.81,9.56,0,0,12.74,1.06,0,1.06,0,0,488.54,0,7.43,0,0,1.06,0,0,46.73,0,0
 96-106,8.74,4.37,3.28,12.02,0,0,3.28,2.19,31.69,4.37,50.27,1.09,1.09,0,3.28,0,20.76,10.93,0,1.09,16.39,0,0,2.19,0,0,313.65,0,4.37,0,0,2.19,1.09,1.09,65.57,1.09,1.09
108-118,6.89,0.77,1.53,5.36,0,0.77,1.53,0.77,34.47,0.77,45.19,1.53,0.77,0.77,1.53,0,20.68,6.13,0,0.77,13.79,0,0,0,0,0.77,187.66,0,2.3,0.77,0,0,0.77,0,41.36,0,0
120,3.92,1.96,1.96,3.92,0,0,0,1.96,15.68,0,52.91,0,0,0,0,0,13.72,0,0,0,27.44,0,0,1.96,0,0,123.47,0,1.96,0,0,0,0,0,37.24,0,0
