stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,2.63,0,0,2.63,0,0,0,0,0,15.77,0,0,15.77,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,15.73,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,1.15,0,0,2.3,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,2.94,0.98,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,11.78,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,1.06,3.19,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,4.37,0,0,0,2.19,0,0,4.37,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,2.3,0,0.77,0.77,0,0,0,0,0.77,0.77,0,0,0,1.53,0
120,0,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0
