stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,50.89,0,0,0,0,6.57,0,9.85,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,7.25,0,0.81,0,0,0.81,0,0,0,0,0,0,111.99,0,0,0,0,8.86,0.81,38.67,0,0
 48-58,0,0,0,0,0,9.18,1.15,0,0,30.41,0,0.57,0,0,0,0,0,1.72,0,0.57,1.15,130.25,0.57,0,0,0,2.87,1.15,58.53,0,0
 60-70,0,0,0,0,0,37.3,0.98,0,0,28.46,0,0,0,0,0,0,0.98,0.98,0,0,1.96,223.79,0,1.96,0,0,14.72,0,42.21,0,0
 72-82,0,0,3.93,0,0,48.1,0,0,0,35.34,0,0,0,0,0,0,0,1.96,0,0,0,244.43,0,0.98,0,0,8.83,0,22.58,0.98,0
 84-94,0,0,6.37,0,0,29.74,3.19,1.06,0,12.74,0,0,0,0,0,0,0,0,0,0,1.06,106.2,0,1.06,0,0,41.42,0,12.74,0,0
 96-106,0,0,9.84,1.09,1.09,20.76,2.19,0,1.09,18.58,0,0,1.09,0,0,1.09,0,1.09,1.09,0,1.09,86.33,0,0,2.19,0,42.62,0,4.37,1.09,0
108-118,0,0,6.89,0,3.06,16.09,0,0.77,0,13.02,0.77,0,1.53,0.77,0,0,0,1.53,1.53,0,1.53,89.62,0,0,0.77,0,41.36,0,1.53,0.77,0.77
120,0,0,9.8,0,0,33.32,0,1.96,0,9.8,0,0,0,0,0,0,0,3.92,0,1.96,1.96,82.31,0,0,0,0,37.24,0,1.96,0,0
