stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,1.64,0.82,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0.81,0,6.45,0,0,0,2.42,0.81,0,0.81,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0.57,0,1.15,4.02,0,0,1.15,0.57,1.72,0,0.57,0
 60-70,0.98,0,0,0,0.98,0.98,0,0,0.98,0.98,0,5.89,0,1.96,4.91,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,1.06,0,3.19,0,4.25,1.06,3.19,0,0,0,0,3.19,0,0,3.19,1.06,0,1.06,2.12,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,3.06,0,0,0,1.53,0,0,0.77,0,3.06,0,0,1.53,0,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,3.92,0,0,0,0,0
