stage,endocrine_pancreas,endoderm,eye,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,2,1,6,0,1
 24-34,0,0,0,0,0,0.82,0.82,0,0.82,1.64,0,0.82
 36-46,0,1.61,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,1.15,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,2.12,0,0,0,7.43,1.06,0,1.06,0,0,0,0
 96-106,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0.77,0,0,0,6.13,0.77,0,0,0,0.77,0,0
120,0,0,0,0,3.92,1.96,0,0,0,1.96,0,0
