stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,13.14,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,3,49,0,1,0,1,0,0,0,6,0,0,4,19,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,172.38,0,0,0,3.28,0,0,0,0,1.64,0,0,0,0,4.93,0,0,1.64,190.44,0.82,3.28,0,0,0,1.64,0,0,0,0,3.28,29.55,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,659.04,0,0,0.81,20.95,0,0,0,0,0,0,0,0,0,19.34,0,0,0.81,276.34,0,2.42,1.61,0,0,0,0,0,0,0,0,19.34,0,0,4.03,0,0
 48-58,0,0,0,2.3,0,0,853.25,0,0.57,0,79.19,0,0,0.57,0.57,0.57,0.57,0,0.57,0,71.73,0,0,5.16,348.87,0.57,0.57,1.72,0,0,1.15,0,0,0,0,0,32.13,0,0,2.3,0,0
 60-70,0,0,0,6.87,0,0,787.18,0,0.98,0,249.31,0.98,0,0,2.94,2.94,4.91,0.98,0.98,0,107.97,0,1.96,3.93,524.13,0,0,3.93,0,0.98,4.91,0,0,0,0,0,31.41,0,1.96,9.82,0,0.98
 72-82,0,0.98,0,14.72,3.93,0.98,796.13,1.96,0.98,3.93,547.77,1.96,0,0,1.96,9.82,11.78,5.89,17.67,0.98,195.35,0,0.98,2.94,824.6,0,0,8.83,0,0,0.98,0.98,0,0,0,0,29.45,1.96,1.96,31.41,0.98,0.98
 84-94,0,2.12,1.06,23.36,0,0,720.06,0,4.25,0,362.15,1.06,0,2.12,2.12,23.36,3.19,5.31,110.45,1.06,168.86,1.06,2.12,4.25,460.92,0,3.19,8.5,0,1.06,8.5,1.06,0,3.19,1.06,0,13.81,0,3.19,18.05,3.19,2.12
 96-106,0,2.19,0,26.23,6.56,2.19,755.16,2.19,3.28,2.19,507.08,4.37,0,1.09,6.56,21.86,1.09,12.02,121.31,1.09,236.05,1.09,6.56,8.74,533.31,2.19,7.65,17.49,0,0,13.11,0,0,3.28,0,0,14.21,0,5.46,32.79,0,1.09
108-118,0,0,1.53,13.79,2.3,1.53,673.28,0,0.77,1.53,468,3.06,0,0.77,2.3,21.45,3.06,7.66,190.72,0,183.83,0.77,0.77,2.3,532.34,0.77,1.53,10.72,0,0.77,5.36,0,0,0.77,0.77,0,13.02,0,2.3,26.81,0.77,1.53
120,0,0,0,19.6,0,3.92,515.42,0,3.92,0,493.87,1.96,0,0,3.92,9.8,0,3.92,88.19,0,176.38,1.96,1.96,3.92,593.82,1.96,1.96,11.76,0,0,5.88,0,0,0,0,0,23.52,0,0,27.44,0,0
