stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,1,0,0,0,0,0,1,0,1,0,0,7,0,0,1,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0,3.28
 36-46,0,0,0.81,1.61,4.83,0,0.81,0.81,0.81,0,0,9.67,0,0,0,0,4.03
 48-58,0,0,2.87,1.72,8.03,0,0.57,0,2.87,0,0,4.59,0,0,0,0,1.72
 60-70,0,0,5.89,1.96,8.83,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,14.72,2.94,7.85,0,0.98,0,2.94,0.98,0,2.94,0,0,0,0,0
 84-94,0,0,23.36,1.06,13.81,1.06,0,0,6.37,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,20.76,1.09,14.21,0,1.09,0,2.19,0,1.09,3.28,0,0,0,0,0
108-118,0,0,31.4,1.53,26.81,0.77,0.77,0,7.66,0.77,0,2.3,0,0.77,0,0,0
120,0,0,74.47,3.92,15.68,1.96,0,0,7.84,0,0,5.88,1.96,0,0,0,0
