stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,2.46,55.82,0,0,0,8.21,0,2.46
 36-46,0,0,0,0,1.61,8.06,0,0,0,0.81,4.83,0,0,0.81,84.6,0,0,0,20.95,0,0.81
 48-58,0,0,0,0,5.74,6.89,0,0,0,0,2.3,0,0,0.57,45.33,0.57,0,0.57,6.31,0,0
 60-70,0,0,0,0,15.7,0.98,0,0,0.98,0.98,2.94,0,0,0,52.02,0,0.98,0.98,5.89,0,0
 72-82,0,0,0,0,9.82,2.94,0,0,0,0,7.85,0,0.98,0,36.32,0,0,0,0,0,0
 84-94,0,0,0,0,12.74,2.12,1.06,0,0,0,4.25,0,0,1.06,20.18,0,0,0,3.19,1.06,1.06
 96-106,0,0,0,0,5.46,1.09,0,0,0,0,1.09,0,0,0,14.21,0,0,0,1.09,1.09,1.09
108-118,0,0,0.77,0.77,7.66,0.77,0,0,0.77,0,2.3,0,0,0,12.26,0,0,0.77,0.77,0,0
120,0,0,1.96,0,7.84,3.92,0,1.96,0,0,3.92,1.96,0,0,27.44,0,0,0,0,0,0
