stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,1475.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,98.07,950.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,21.03,36.8,0,0,55.2,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,599.35,7.89,0,0,236.58,0,2.63,0,0,0,0,0
 10-12,0,25.18,37.76,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,3.15,0,0,157.35,0,3.15,0,28.32,3.15,0,0
 14-21,0,0,3,11,6,11,0,0,3,1,0,0,0,0,0,0,0,0,6,0,5,140,1,0,0,3,4,0,9,2,9,42,0
 24-34,0,0,0,8.21,0,39.4,0.82,0,1.64,0,0,0.82,0.82,0,0,0.82,0.82,0,25.45,0,9.03,243.79,0.82,0,0.82,0,13.13,0,0,0,0.82,59.92,0.82
 36-46,0,0,0,2.42,0,45.12,0.81,0,0.81,0.81,0,0.81,0.81,0,0,0,0.81,0,16.11,0.81,4.83,90.23,0,0,0,0,3.22,0.81,0,0,0,21.75,4.03
 48-58,0,0,0,4.59,0,33.28,0,0.57,2.3,0,0,0,0,0,0,0,0,0,18.94,1.72,6.31,47.05,0,1.15,0,0,0.57,0,0,0,0,5.16,3.44
 60-70,0,0,0,2.94,0,15.7,0,0.98,9.82,1.96,0,0,0,0,0,0,0,0,9.82,0,0.98,28.46,0,0,0.98,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,8.83,0,0,8.83,1.96,0,0,0,0,0,0,0,0.98,20.61,0,3.93,22.58,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,6.37,1.06,18.05,0,1.06,6.37,0,0,0,1.06,0,0,0,1.06,0,12.74,2.12,3.19,8.5,0,0,1.06,0,2.12,0,0,0,0,1.06,1.06
 96-106,0,0,0,2.19,0,5.46,0,0,5.46,2.19,0,0,1.09,0,0,0,0,0,5.46,0,1.09,12.02,0,0,1.09,0,1.09,0,0,0,0,0,3.28
108-118,0,0,0,4.6,0.77,4.6,0,0,3.06,2.3,0,0,0,1.53,1.53,0,0,0,8.43,0.77,2.3,17.62,0,2.3,2.3,0,7.66,0,0,0,0,0,0
120,0,0,0,5.88,1.96,15.68,0,0,5.88,1.96,0,0,3.92,0,0,1.96,0,0,3.92,0,5.88,31.36,0,0,3.92,0,0,0,0,0,0,0,0
