stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,13.14,0,63.09,0,0,0,0,0,0,0,0,0
 10-12,15.73,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,9.44,0,22.03,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,1,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,8,48,2,1,0,1,0,112,1,0,0,6,4,0,0,1,0
 24-34,0,0,0,3.28,0,0,5.75,0,0,0,0,0.82,0,2.46,1.64,0,0,0,0,0,14.78,4.1,0,1.64,151.86,0,7.39,0.82,0,0,352.97,0,0.82,0.82,0.82,21.34,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,4.83,0,1.61,0,7.25,0.81,0,0,0,0,0.81,0,0,0,7.25,0,0,0,183.69,0,5.64,0,0,0,256.2,0,0.81,0,0,18.53,0,0,0.81,0
 48-58,0,0,0,3.44,0,0,11.48,0,0.57,0,20.66,0,0,0,0,0,0.57,0,0,0,9.75,1.72,0,1.15,133.12,0,1.72,0,0,0,172.14,0,1.15,0,0,13.2,0,0,0.57,0
 60-70,0,0,0,5.89,0,0,11.78,0,5.89,0.98,37.3,0,0,0,0.98,0.98,0.98,0,0,0.98,14.72,1.96,0,0.98,92.26,0.98,5.89,0,0,0,216.92,0,0,0,0,7.85,0.98,0,0.98,0
 72-82,0,0,0,17.67,0,0,6.87,0,4.91,0,23.56,0.98,0,0,1.96,4.91,0,0,0,0,18.65,1.96,0,0.98,47.12,0,7.85,0.98,0,0.98,189.46,0,0,0,0,6.87,0,0.98,0,0
 84-94,0,0,1.06,38.23,0,0,11.68,0,12.74,0,11.68,4.25,0,0,3.19,6.37,0,1.06,1.06,0,7.43,3.19,0,1.06,41.42,0,9.56,0,0,0,536.33,0,1.06,0,0,5.31,3.19,1.06,0,0
 96-106,0,0,0,66.66,1.09,0,4.37,0,7.65,0,20.76,4.37,0,1.09,3.28,1.09,0,1.09,2.19,0,10.93,4.37,0,1.09,29.51,1.09,20.76,0,0,0,433.86,0,0,0,0,1.09,2.19,0,0,1.09
108-118,0,0,0,62.04,0,0.77,4.6,1.53,16.85,0.77,12.26,4.6,0,0,3.83,12.26,0,0.77,1.53,0.77,9.19,3.83,0,0.77,22.21,0,13.02,0,0,0,410.56,0,0.77,0,0,0,0.77,0,1.53,0.77
120,0,0,0,82.31,0,0,3.92,0,21.56,0,5.88,1.96,0,1.96,1.96,7.84,0,0,0,0,9.8,5.88,3.92,1.96,27.44,0,7.84,0,0,0,364.52,0,0,0,0,0,0,0,0,0
