stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,0,74.7,0,1.64,0.82,0,0,0,0.82,0,0,3.28,1.64,48.43,0.82,0.82,0,0.82,6.57,0,1.64,0,0.82
 36-46,0,1.61,0,73.32,0,0.81,0,0,0.81,0,0,0.81,0.81,5.64,0.81,40.28,0,0.81,0.81,2.42,18.53,0,0.81,0,0.81
 48-58,0,0.57,0,43.61,0.57,1.15,0,0.57,0,0,0,0,0,5.16,0,23.53,0,0,0,1.15,5.16,0,0,0,0.57
 60-70,0,0,0,36.32,0,0,0,0,0,0.98,0,0,0,3.93,1.96,11.78,0,0,0,0.98,0.98,0,0,0,0.98
 72-82,0,0,0.98,38.28,0,0.98,0,0,0,0,0,0,0,1.96,0,11.78,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,2.12,0,32.92,0,0,0,0,0,0,0,0,0,3.19,0,4.25,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,2.19,0,21.86,0,0,0,0,0,0,0,1.09,0,2.19,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,20.68,0,0,0,0,0,0,0,0,0,2.3,0,4.6,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,15.68,0,0,0,0,0,0,1.96,1.96,0,1.96,0,3.92,0,0,0,0,1.96,0,0,0,0
