stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0.82,0,0.82,0,0
 36-46,2.42,0,1.61,0,0,0.81,0,0,0.81,2.42,0,0,0.81,7.25,0,0,0,0,0,1.61,1.61,0
 48-58,0.57,0,3.44,0,0,3.44,0,0,0,1.15,0,0,0,8.61,0,0,0,0,0,4.02,0,0.57
 60-70,0,0,3.93,0,0,0,0,0,0,2.94,0,0,0.98,1.96,0,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,3.93,0.98,0,1.96,0,0,0,3.93,0.98,0,0,5.89,0,0.98,0.98,0,0,0.98,0,0
 84-94,0,0,2.12,0,0,1.06,0,0,1.06,2.12,1.06,0,0,6.37,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,5.46,0,1.09,1.09,3.28,0,0,0,1.09,0,1.09,0,0
108-118,0,0.77,1.53,0,0,0,0,0.77,0,3.83,0,0,0,8.43,0,0,0.77,0.77,0,0,0.77,0
120,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,1.96,1.96,1.96,0,0,0,1.96,0,0,1.96,0
