stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,26.29,5.26,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,25.18,0,6.29,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0.82,0,0,0.82,0,0,0.82,1.64,24.63,0,0.82,0.82,0,0,0,0,6.57,1.64,0
 36-46,0,0,0,0,0.81,0,2.42,0,0.81,0,0,0,0,0,2.42,0,46.73,0,0,0,0,0.81,0,0,5.64,0,0
 48-58,0,0,0,0,0,0,10.33,0,1.15,0,0,0,0.57,0,2.87,0.57,35,0,0,0.57,0,0.57,0,0,6.89,0,0.57
 60-70,0,0,0,0,0.98,0,13.74,0,0.98,0,0,0,0,0,9.82,0.98,40.24,0,0,0.98,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,15.71,0,0.98,0,0,0,0,0,11.78,0.98,30.43,0,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,0,0,9.56,0,2.12,0,0,0,0,1.06,5.31,1.06,9.56,0,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,1.09,0,0,1.09,5.46,0,6.56,1.09,0,0,0,0,13.11,0,10.93,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0.77,3.06,0,0,0,0,0,6.89,0,19.92,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,1.96,0,15.68,0,0,0,0,0,0,0,0,0,0
