stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0,20.52,0.82,0,0,0.82,1.64,0.82,6.57,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,4.83,0,0,0.81,0,0.81,0,0,0,0.81,1.61,0,0,0,52.37,0,0.81,0,0.81,1.61,0.81,4.03,0,0,4.03,0
 48-58,0,0,0,0,2.3,0,0,9.75,0,0,2.87,0,1.72,0.57,0,0,0,2.3,0,0,0,32.71,0,0,0,6.31,0,0,7.46,0,0,8.61,0
 60-70,0,0,0,0,4.91,0,0,17.67,0,0,0,0,6.87,0.98,0,0,0,5.89,0,0,1.96,32.39,0,0,0,46.13,0.98,0,4.91,0,0,7.85,0
 72-82,0,0,0,0,14.72,0,0,32.39,0,1.96,0.98,0.98,26.5,2.94,0,0,0.98,6.87,4.91,0,0.98,84.42,5.89,1.96,0,163.94,0,0,1.96,0,0,20.61,0
 84-94,0,0,0,0,15.93,2.12,0,26.55,5.31,0,2.12,4.25,33.99,7.43,0,1.06,1.06,4.25,5.31,0,0,30.8,1.06,0,0,502.34,0,0,2.12,0,1.06,24.43,1.06
 96-106,0,0,1.09,0,48.09,1.09,0,26.23,7.65,0,2.19,10.93,50.27,16.39,1.09,1.09,2.19,4.37,4.37,2.19,0,42.62,4.37,2.19,0,756.25,2.19,0,1.09,1.09,0,27.32,0
108-118,0,0,0,0,41.36,0,0.77,13.79,9.96,0,3.83,16.09,32.94,19.15,0,0.77,3.06,6.89,11.49,0,0,41.36,4.6,0.77,0,724.6,0.77,0.77,0,4.6,0,29.11,0
120,1.96,0,0,0,43.12,0,0,13.72,11.76,0,0,23.52,41.16,23.52,0,1.96,0,5.88,7.84,0,0,37.24,1.96,0,0,505.62,1.96,3.92,0,0,0,31.36,0
