stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,21.03,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,25.18,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,22.03,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,1,0,6,7,0,10,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,133,2,0,0,2,0,2,0,2,43,0,0,0,1
 24-34,0,0,0,0.82,2.46,0.82,0,28.73,0.82,0,1.64,0,0.82,0.82,0,0,0,0.82,2.46,12.31,0,0,1.64,214.24,0,0,0.82,0,0,0,0,1.64,45.97,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,0,17.72,0,0.81,7.25,0,0,1.61,0.81,0,0,0.81,0,17.72,0,0,2.42,146.63,1.61,0,0.81,0,0,0,0,0,28.2,0,2.42,0,0
 48-58,0,0,0,0,1.72,0,0,26.4,1.15,1.15,10.33,0,0,0,0.57,0,1.15,0.57,0,23.53,0,0.57,1.15,97.55,0,0,1.15,0,0,0,0,0,20.08,0.57,2.3,0,0.57
 60-70,0,0,0,0,0,0.98,0,29.45,1.96,0.98,6.87,0.98,0,0,0,0,0,0,0,12.76,0,0,0,82.45,0.98,0.98,0,0,0,0,0,0,10.8,1.96,2.94,0,0
 72-82,0,0,0,0,0.98,0.98,0,29.45,3.93,2.94,15.71,0.98,0,1.96,0.98,0,0,0,0,22.58,0,0,1.96,132.52,0,1.96,0,0,0.98,0,0,0,1.96,0,6.87,1.96,0.98
 84-94,0,0,0,0,1.06,0,1.06,16.99,6.37,0,13.81,7.43,0,0,2.12,2.12,1.06,1.06,0,16.99,0,2.12,2.12,62.66,1.06,1.06,4.25,0,0,0,0,0,4.25,3.19,4.25,0,0
 96-106,0,0,0,0,2.19,1.09,1.09,27.32,7.65,0,17.49,5.46,0,1.09,4.37,0,0,1.09,0,14.21,0,1.09,1.09,55.74,0,0,0,0,0,0,0,0,1.09,0,8.74,0,1.09
108-118,0,0,0,0,1.53,0.77,0.77,17.62,8.43,3.06,11.49,6.89,0,0,2.3,0.77,0,1.53,0,14.55,0,0.77,2.3,63.57,0,0,0.77,0,0,0,0,0,2.3,0.77,3.06,0.77,0
120,0,0,0,0,1.96,0,0,13.72,5.88,1.96,13.72,5.88,0,1.96,0,0,0,0,0,11.76,1.96,0,5.88,88.19,0,0,0,0,0,0,0,0,3.92,0,5.88,0,0
